ISSUER,STATECODE,override_type,county_fips,note
Los Angeles (Long Beach) USD,CA,county_override,06037,Long Beach USD covers LB area within LA Co
Battery Park City Authority,NY,metro_excluded,,NYC citywide (Manhattan TIF authority)
San Francisco City & Co USD,CA,county_override,06075,SF
Santa Clara Valley Trans Auth,CA,county_override,06085,VTA primary footprint Santa Clara Co
San Diego Regional Airport Auth,CA,county_override,06073,SAN airport in San Diego Co
Philadelphia Auth for Indus Dev,PA,county_override,42101,Philadelphia Co conduit
San Francisco City/Co Redev Success Agy,CA,county_override,06075,SF redevelopment successor
West Contra Costa USD,CA,county_override,06013,Contra Costa Co
Port of Oakland-California,CA,county_override,06001,Oakland in Alameda Co
Comal ISD,TX,county_override,48091,Comal County
Santa Clara USD,CA,county_override,06085,Santa Clara Co
Pittsburgh Water & Sewer Auth,PA,county_override,42003,Allegheny Co (Pittsburgh)
Los Angeles Harbor Dept,CA,county_override,06037,Port of LA in San Pedro/LA Co
Metro Nashville Airport Auth,TN,county_override,47037,BNA in Davidson Co (consolidated Nashville)
San Jose Financing Authority,CA,county_override,06085,San Jose in Santa Clara Co
Washington Conv Ctr Pub Facs Dt,WA,county_override,53033,Seattle Convention Ctr in King Co
Port Of Houston Authority,TX,county_override,48201,Port of Houston in Harris Co
Santa Clara Valley Water Dt,CA,county_override,06085,Predominantly Santa Clara Co
Anaheim Public Financing Auth,CA,county_override,06059,Anaheim in Orange Co
Greater Orlando Aviation Auth,FL,county_override,12095,MCO in Orange Co (FL)
NYC Health & Hosp Corp,NY,metro_excluded,,NYC citywide hospital system
NYC Industrial Dev Agency,NY,metro_excluded,,NYC citywide IDA
Mount San Antonio Comm College Dt,CA,county_override,06037,"Mt SAC in Walnut, LA Co"
El Paso ISD,TX,county_override,48141,El Paso County
Eastern Municipal Water Dt,CA,county_override,06065,Riverside Co (Hemet/Moreno Valley/Perris)
Hays CISD,TX,county_override,48209,Hays Co
Davis SD BOE,UT,county_override,49011,"Davis County, UT"
Chabot-Las Positas Comm Coll Dt,CA,county_override,06001,Alameda Co (Hayward/Livermore/Pleasanton)
North Slope Boro-Alaska,AK,county_override,02185,AK Borough is a county-equivalent
San Joaquin Hills Trans Corridor Agy,CA,county_override,06059,Orange Co toll roads (SR-73)
Detroit Retirement Sys Fund Tr,MI,county_override,26163,Wayne Co (Detroit)
Alameda Corridor Transport Auth,CA,county_override,06037,Rail corridor primarily in LA Co
Northeast Ohio Regional Sewer Dt,OH,county_override,39035,Cuyahoga Co main footprint
Central Puget Sound Reg Tran Au,WA,multi_county_authority,,Sound Transit (King/Pierce/Snohomish)
Minneapolis-St Paul Metro Airports Comm,MN,multi_county_authority,,MSP airport (Hennepin/Ramsey)
Ctl Texas Reg Mobility Au (CTRMA),TX,multi_county_authority,,Austin metro toll multi-county
Delaware River Port Auth of PA NJ,NJ,multi_county_authority,,Bistate PA+NJ port authority
Trinity River Authority,TX,multi_county_authority,,Multi-county TX wholesale water
Hampton Roads Trans Acc Com (HRTAC),VA,multi_county_authority,,Hampton Roads regional transport
Tampa Bay Water,FL,multi_county_authority,,Hillsborough+Pasco+Pinellas wholesale
E-470 Public Highway Authority,CO,multi_county_authority,,Denver metro toll multi-county
Tri-Co Metro Trans Dt,OR,multi_county_authority,,TriMet (Multnomah/Washington/Clackamas)
Metropolitan Council,MN,multi_county_authority,,Twin Cities regional authority
Minneapolis-St Paul Metro Council,MN,multi_county_authority,,Twin Cities regional council (same as above)
Grand River Dam Authority,OK,multi_county_authority,,Multi-county OK power authority
Metropolitan St Louis Sewer Dt,MO,multi_county_authority,,St Louis City+County
Dallas-Fort Worth Intl Airport,TX,multi_county_authority,,DFW in Dallas+Tarrant
Reedy Creek Improvement Dt,FL,multi_county_authority,,Disney district (Orange+Osceola)
Hampton Roads Sanitation Dt,VA,multi_county_authority,,Multi-locality VA sanitation
North Texas Hghr Education Auth,TX,state_conduit,,TX higher-ed student loan conduit
Energy Southeast,AL,state_conduit,,Gas prepayment conduit
Lower Alabama Gas Dt,AL,state_conduit,,Gas prepayment conduit
PR Govt Dev Bank Recovery Auth,PR,state_conduit,,Puerto Rico (not US county)
Colorado St Univ Sys Bd of Gov,CO,state_conduit,,State university system
Railsplitter Tob Settlement Au,IL,state_conduit,,IL state tobacco securitization
California Earthquake Auth,CA,state_conduit,,State-wide insurance authority
Texas Muni Gas Acq & Supply Corp V,TX,state_conduit,,Gas prepayment conduit
Bldg Equity Sooner For Tomorrow (BEST),SC,state_conduit,,SC state school facilities authority
Arizona Water Infrastructure Fin Auth,AZ,state_conduit,,State infrastructure SRF conduit
