county_fips,county_name,state,role,baseline_fy,baseline_pt_allfunds_usd,post_fy,post_pt_allfunds_usd,baseline_source_type,post_source_type,status,note
41049,Morrow County,OR,treated,2017,8703375,2024,15584457,acfr_allfunds,acfr_allfunds,VERIFIED,"OR no sales tax; Note-14 cash basis Total Gov Funds. AWS/Boardman DCs under SIP 15yr abatement -> DC money is IN-LIEU ($11.7M FY24, reported OUTSIDE the PT line). PT line still +79%. Census $7.55M undercount."
41013,Crook County,OR,treated,2017,7870000,2023,13479167,census_validated,acfr_allfunds,VERIFIED,"Prineville Meta/Apple DCs. Baseline=Census $7.87M VALIDATED by OR DOR FY16-17 levy ($7.75M+delinquent, within 1.4%); no FY17 ACFR online. Post FY23 audited Total Gov Funds (Sheriff levy moved to own fund -> use all-funds, not GF). +71% 6yr."
41059,Umatilla County,OR,treated,2017,16411367,2023,22713457,acfr_allfunds,acfr_allfunds,VERIFIED,"Hermiston AWS DCs. Total Gov Funds 'Taxes' (incl PILOT both endpoints, consistent). Census $15.0M = ex-PILOT (gap exactly the $1.41M PILOT). +38% 6yr."
32029,Storey County,NV,treated,2016,11814771,2023,22769019,acfr_allfunds,acfr_allfunds,VERIFIED,"TRIC (Switch/Google/Tesla). Baseline FY2016 (FY17/18 ACFRs not posted). PT net of GOED abatements; CTX/consolidated tax excluded. Census $12.41M plausible. +93% over 7yr."
48125,Dickens County,TX,treated,2017,2062164,2024,3667931,acfr_allfunds,acfr_allfunds,VERIFIED,"Small TX; Total Gov Funds (GF+R&B). Wind/battery-storage abatements (PILOT), NOT data centers despite dc_share. Census $2.05M accurate. +78% 7yr (wind buildout, not DC)."
37069,Franklin County,NC,treated,2017,46788595,2023,62687638,acfr_allfunds,acfr_allfunds,VERIFIED,"NC LGC/Treasurer 10yr table + FY23 ACFR Total Gov Funds (ad valorem). Census $16.71M SEVERELY undercount (2.8x) -- annual sample survey. +34% 6yr."
37039,Cherokee County,NC,treated,2017,18474110,2022,21790492,acfr_allfunds,acfr_allfunds,VERIFIED,"NC Total Gov Funds (GF + fire/special-district ad valorem). Census $17.21M ~7% low. +18% 5yr."
13317,Wilkes County,GA,treated,2017,4951787,2024,4882460,acfr_govwide,acfr_govwide,VERIFIED,"GA govwide Statement of Activities. FLAT/slight decline despite dc_share_mid=37% -- abatement-shielded or DC not yet on base (Washington-GA-like anomaly). Census $4.43M 12% low."
54047,McDowell County,WV,treated,2017,3961493,2024,3779836,acfr_allfunds,acfr_allfunds,VERIFIED,"WV SAO Chief Inspector. Coal county; PT 100% in GF. DECLINE -4.6% over 7yr (coal base erosion dominates). Census $4.4M 11% high (levy vs collection)."
37161,Rutherford County,NC,treated,2017,41522825,2024,56044006,acfr_allfunds,acfr_allfunds,VERIFIED,"NC ad valorem Total Gov Funds (incl fire districts). Census $41.52M EXACT (NC annual survey was complete here). +35% 7yr."
37027,Caldwell County,NC,treated,2017,46110069,2023,59018289,acfr_allfunds,acfr_allfunds,VERIFIED,"NC ad valorem Total Gov Funds (GF+fire/rescue). Census $46.11M EXACT (within $1k). +28% 6yr."
37035,Catawba County,NC,treated,2017,102643115,2024,135725988,acfr_allfunds,acfr_allfunds,VERIFIED,"NC ad valorem Total Gov Funds (GF+fire). Census $102.45M near-exact. +32% 7yr."
13145,Harris County,GA,treated,2017,8667509,2024,19117838,acfr_govwide,acfr_govwide,VERIFIED,"GA govwide Statement of Activities (Hamilton GA, near Columbus; NOT Harris TX). Census $8.55M -1.4%. +121% 7yr -- strong DC trajectory."
13157,Jackson County,GA,treated,2017,23333600,2024,41254594,acfr_govwide,acfr_govwide,VERIFIED,"GA govwide (Jefferson, I-85 DC corridor). Census $27.62M was +18% HIGH -- Census uses GROSS levy, ACFR is NET of GA LOST credit. +77% 7yr."
13285,Troup County,GA,treated,2017,22936543,2022,28853594,acfr_govwide,acfr_govwide,VERIFIED,"GA govwide governmental-activities only (excl small business-type PT). LaGrange. Census $23.01M near-exact. +26% 5yr."
45083,Spartanburg County,SC,treated,2017,104284848,2023,157288574,acfr_govwide,acfr_govwide,VERIFIED,"SC govwide Statement of Activities (fund 'Taxes' line bundles sales -> govwide used). Census $104.28M near-exact. +51% 6yr."
45091,York County,SC,treated,2017,101256000,2024,168363355,acfr_allfunds,acfr_allfunds,VERIFIED,"SC Total Gov Funds 10yr table (Rock Hill). Census $97.44M -4% (cash vs modified accrual). +66% 7yr."
45087,Union County,SC,treated,2017,12220000,2023,13974685,census_plausible,acfr_allfunds,PARTIAL,"SC. No FY17 audit online; Census $12.22M plausible (FY18 govwide $11.65M nearby). Post FY23 audited Total Gov Funds."
01075,Lamar County,AL,treated,2017,1903000,2022,2403000,census_of_govts,census_of_govts,VERIFIED,"AL. County NEVER produced audited financials (EOPA compliance-only exams). Both endpoints from Census of Govts T01 (quinquennial full enumeration, county type=1). dist file $5.5M was all-units (county+school+city) -- confirms denominator scope issue. +26%."
28089,Madison County,MS,treated,2017,47194151,2022,54396324,acfr_allfunds,acfr_allfunds,VERIFIED,"MS Total Gov Funds (GF+I&S+other; Nissan TIF). Census $46.2M -2.1%. +15% 5yr."
46119,Sully County,SD,treated,2017,2335215,2022,2742222,acfr_allfunds,acfr_allfunds,VERIFIED,"SD modified-cash Total Gov Funds (GF+Road+other). Census $2.33M EXACT (0.2%). +17% 5yr."
31081,Hamilton County,NE,treated,2017,3788383,2023,5019643,acfr_allfunds,acfr_allfunds,VERIFIED,"NE cash-basis Statement of Activities, property-tax line (excl motor-vehicle tax). Census $3.65M -3.6%. +33% 6yr."
47125,Montgomery County,TN,treated,2018,82790492,2024,130047446,acfr_allfunds,acfr_allfunds,VERIFIED,"TN GAAP ACFR -- NOT bundled (property tax separable). COUNTY-ONLY current property tax all gov funds (excl discretely-presented school component unit $29.9M). Baseline FY2018 (FY17 not archived). Census $114.85M INCLUDES school levy (TN scope). County-only +57% 6yr."
19049,Dallas County,IA,treated,2017,22307584,2025,34131102,acfr_allfunds,acfr_allfunds,VERIFIED,"CONFLICT resolved: v2 ($22.3M) RIGHT, Census $26.5M OVER (+19%; IA counties collect for all entities). Microsoft West Des Moines DCs. Total Gov Funds 'property and other county tax'. +53% 8yr."
19153,Polk County,IA,treated,2017,149192233,2024,204350096,acfr_allfunds,acfr_allfunds,VERIFIED,"CONFLICT resolved: v2 ($149.2M) RIGHT, Census $209.8M OVER by 41% (IA county collects for cities/schools -> Census ASLGF over-counts). Meta Altoona DCs. Total Gov Funds. +37% 7yr."
42121,Venango County,PA,treated,2017,11108250,2022,11287755,acfr_govwide,acfr_allfunds,VERIFIED,"CONFLICT resolved: Census ($11.5M) RIGHT, v2 $106.7M WRONG (~9.5x; v2 swept in 3 school districts). Real-estate tax, 6 mills. Flat. Oil City PA."
48325,Medina County,TX,treated,2018,17411712,2023,25888766,acfr_govwide,acfr_govwide,PARTIAL,"CONFLICT resolved: v2 $17.4M was FY2018 MISLABELED as FY2017; Census $14M ~ GF-only. Baseline=FY2018 govwide (FY17 audit offline). v2 post $55M is a DATA ERROR (true FY23 $25.9M). +49% FY18->23."
48355,Nueces County,TX,treated,2017,80173689,2019,89025606,acfr_allfunds,acfr_allfunds,VERIFIED,"CONFLICT resolved: v2 ($80.2M) RIGHT, Census $108.9M OVER by 36% (Nueces Hospital District levy mis-attributed to county). Corpus Christi. Total Gov Funds. Post FY2019 (FY22-24 PDFs exceeded scraper). +11% 2yr."
32003,Clark County,NV,treated,2017,622066256,2024,1067227794,acfr_govwide,acfr_govwide,VERIFIED,"Las Vegas. Govwide ad-valorem (accrual), excl CTX/sales. Census $660.79M ~6% high (timing). +72% 7yr. DC abatements netted ($1.26M FY17)."
41067,Washington County,OR,treated,2017,199849000,2023,265027000,acfr_govwide,acfr_govwide,VERIFIED,"Intel/Hillsboro. Govwide PT (general+debt). Census $199.85M EXACT. SIP abatement ~$48.6M FY23 (Intel) -> in-lieu outside PT line. +33% 6yr."
49035,Salt Lake County,UT,treated,2017,287559672,2022,340031013,acfr_allfunds,acfr_allfunds,VERIFIED,"Total Gov Funds. Census $302.27M ~5% high (modified-accrual deferral). +18% 5yr."
55101,Racine County,WI,treated,2017,51919843,2024,63822269,acfr_allfunds,acfr_allfunds,VERIFIED,"Microsoft Mount Pleasant. Total Gov Funds 'Taxes'=PT. Census $51.97M EXACT. +23% 7yr."
56021,Laramie County,WY,treated,2017,13255815,2024,27952680,acfr_govwide,acfr_govwide,VERIFIED,"Cheyenne/Microsoft. COUNTY-ONLY govwide PT (Census $27.28M = ALL overlapping districts, 2x). +111% 7yr (FY23 peak $32M, volatile)."
19155,Pottawattamie County,IA,treated,2017,44891722,2023,50085757,acfr_allfunds,acfr_allfunds,VERIFIED,"Council Bluffs/Google. Total Gov Funds 'property and other county tax' (incl ~$2M gaming). Census $42.48M ~ govwide pure PT. IA collector-state. +12% 6yr."
42079,Luzerne County,PA,treated,2017,120726394,2024,134777939,acfr_allfunds,acfr_allfunds,VERIFIED,"Wilkes-Barre. Total Gov Funds property taxes (real estate). Census $117.0M ~ GF-only. +12% 7yr."
08085,Montrose County,CO,treated,2017,13664000,2024,20416162,acfr_govwide,acfr_govwide,VERIFIED,"Govwide PT (levied-in-year). Census $13.64M EXACT. +49% 7yr."
26027,Cass County,MI,treated,2016,12903305,2023,14893296,munispot_v2,munispot_v2,PARTIAL,"No ACFR PDF online; values from MuniSpot v2 Total Gov Funds (MI county tax=PT only, road commission separate). Baseline FY2016. Census $13.72M consistent. +15%."
30093,Silver Bow County,MT,treated,2017,30407258,2024,36516814,acfr_allfunds,acfr_allfunds,VERIFIED,"NOTE: NOT in matched design (no Census-2017 baseline). Consolidated Butte-Silver Bow city-county. Total Gov Funds. +20% 7yr. Needs adding to matched set to enter DiD."
47165,Sumner County,TN,treated,2018,45054677,2025,77347127,acfr_allfunds,acfr_allfunds,VERIFIED,"TN GAAP AFR Schedule K (Current Property Tax, separable). COUNTY-ONLY (excl school CU ~$62M). Census $85.64M = county+school. Nashville metro. +72% FY18->25."
47105,Loudon County,TN,treated,2017,15388903,2023,18124876,acfr_allfunds,acfr_allfunds,VERIFIED,"TN Schedule J-5/K-6 Current Property Tax, all gov funds, COUNTY-ONLY (excl school $10.1M). Census $27.84M=county+school+. +18% 6yr."
47113,Madison County,TN,treated,2018,46625406,2024,56913391,acfr_allfunds,acfr_allfunds,VERIFIED,"TN Exhibit K/L-5 Current Property Tax, COUNTY-ONLY (excl school CU). Jackson TN. Census $48.48M=county+school. +22% FY18->24."
47107,McMinn County,TN,treated,2019,12226054,2022,14540813,acfr_govwide,acfr_allfunds,PARTIAL,"TN; baseline FY2019 govwide (FY17/18 AFR not archived). COUNTY-ONLY. Census $10.99M ~county-only. +19% 3yr."
47035,Cumberland County,TN,treated,2018,13911919,2024,23599891,acfr_allfunds,acfr_allfunds,VERIFIED,"TN Exhibit K-6 Current Property Tax, COUNTY-ONLY (excl school). Crossville. Census $20.49M=county+school. +70% FY18->24 (9.2%/yr)."
47025,Claiborne County,TN,treated,2018,7434377,2025,10644764,acfr_govwide,acfr_govwide,VERIFIED,"TN govwide Statement of Activities PT, COUNTY-ONLY (excl school $6.7M). Census $13.73M=county+school. +43% FY18->25."
47013,Campbell County,TN,treated,2018,10480554,2024,13835553,acfr_allfunds,acfr_allfunds,VERIFIED,"TN Exhibit J Current Property Tax, COUNTY-ONLY (excl school $6.1M). Census $13.59M=county+school. +32% FY18->24."
47173,Union County,TN,treated,2018,4595064,2024,7140748,acfr_allfunds,acfr_allfunds,VERIFIED,"TN Exhibit J-5, COUNTY-ONLY (excl school $2.4M). Census $4.74M ~ county-only here. +55% FY18->24."
47151,Scott County,TN,treated,2017,3936896,2024,5125530,acfr_allfunds,acfr_allfunds,VERIFIED,"TN Exhibit J-5/J-6 Current Property Tax, COUNTY-ONLY (excl school $1.6M). Census $5.04M ~county+school. +30% 7yr."
47121,Meigs County,TN,treated,2018,3051515,2024,3530208,acfr_allfunds,acfr_allfunds,VERIFIED,"TN Exhibit J-5, COUNTY-ONLY (excl school $1.3M). Census $3.53M ~county-only. +16% FY18->24."
48371,Pecos County,TX,treated,2017,19870000,2023,33643591,census_plausible,acfr_allfunds,PARTIAL,"OIL-CONFOUND (CLAUDE.md drop from DC-mechanism): 2017->23 trajectory dominated by Permian oil-price cycle, not DC. Post FY2023 hand-verified $33.64M; baseline Census $19.87M. Use only in flagged robustness, NOT primary."
48067,Cass County,TX,treated,2017,9870221,2023,10795010,acfr_allfunds,acfr_allfunds,VERIFIED,"NE Texas, NOT oil (timber/mfg). County collects NO sales tax so 'Taxes'=100% property tax. Total Gov Funds. Census $9.04M ~M&O-only (excl debt-service levy). +9% 6yr. CLEAN."
48109,Culberson County,TX,treated,2017,3144482,2022,5276156,acfr_allfunds,acfr_allfunds,PARTIAL,"OIL/WIND-CONFOUND: +68% = Permian O&G ($40->$90 WTI) + wind build-out, NOT DC. Tiny (~2,300 pop). Total Gov Funds. Census $3.27M ~exact. Robustness only, flag/exclude from primary."
51117,Mecklenburg County,VA,treated,2017,54165404,2024,113716079,v2_apa,v2_apa,verified,Microsoft Boydton DC county. V2 = VA APA Comparative Report Exhibit B Total General Property Taxes; FY2024 113716079 confirmed to the dollar by independent APA pull. 74pct Personal Property-General (84.1M = DC servers as business personal property). County-government locality-wide scope; resolves Census-vs-PDF scope mismatch. CAGR +11.2pct/yr.
47031,Coffee County,TN,control,2017,14142408,2024,16679866,acfr_tn_comptroller,acfr_tn_comptroller,verified,"TN never-DC control. Comptroller Exhibit K-6/K-8 Current Property Tax, county primary govt only (excl school dept CU). Column-sum verified."
47003,Bedford County,TN,control,2017,13334828,2024,22916490,acfr_tn_comptroller,acfr_tn_comptroller,verified,"TN never-DC control. Comptroller Exhibit J-5/J-4 Current Property Tax, county-only (excl school CU 8.3M). Column-sum verified."
47155,Sevier County,TN,control,2018,32654305,2024,45051397,acfr_tn_comptroller,acfr_tn_comptroller,verified,TN never-DC control. FY2017 PDF 404 on Comptroller archive; baseline=FY2018 (Exhibit L-4). Post FY2024 L-5 Current Property Tax county-only.
47163,Sullivan County,TN,control,2018,44742781,2023,52938122,acfr_tn_comptroller,acfr_tn_comptroller,verified,TN never-DC control. FY2017 unavailable; baseline=FY2018 (L-5). Post FY2023 Exhibit L-8 Current Property Tax county-only (excl school CU).
47021,Cheatham County,TN,control,2018,14706819,2024,21730234,acfr_tn_comptroller,acfr_tn_comptroller,verified,TN never-DC control. FY2017 PDF 404; baseline=FY2018 (J-5). Post FY2024 J-5 Current Property Tax county primary govt only (excl school CU 7.6M).
47009,Blount County,TN,control,2018,47003000,2023,56619560,acfr_tn_comptroller,acfr_tn_comptroller,verified,"TN never-DC control. FY2017 PDF 404; baseline=FY2018 K-9 current property tax (~47.00M, rounded). Post FY2023 K-9 county-only (excl school CU 23.1M)."
47161,Stewart County,TN,control,2016,5038635,2024,6600325,acfr_tn_comptroller,acfr_tn_comptroller,verified,"TN never-DC small control. FY2017 PDF unavailable; baseline=FY2016 (J-5, stewartcogov.com). Post FY2024 J-5 Current Property Tax county-only. GAAP basis, clean separate line (no bundling)."
