pid,operator
10362565,"Amazon.com, Inc."
10317464,"China United Network Communications Group Co., Ltd."
10259608,"Netrality Property Trust, LLC"
10346907,Sabey Data Center Properties LLC
10339770,CyrusOne Inc.
10341286,"EdgeCore Internet Real Estate, LLC"
10255522,"Equinix, Inc."
10343177,Delaware Land LLC
10362390,"CapRock Partners, LLC"
10320349,"Zayo Group Holdings, Inc."
10340292,CyrusOne Inc.
10362197,"Vantage Data Centers Management Company, LLC"
10185478,CyrusOne Inc.
10317829,"China United Network Communications Group Co., Ltd."
10349528,Bridge Data Centres (International) Pte. Ltd.
10346862,"EPB, Chattanooga"
10183821,"TierPoint, LLC"
10317859,"China United Network Communications Group Co., Ltd."
10362567,"Amazon.com, Inc."
10338617,Lumos Networks Corp.
10349510,Ascenix
10340727,"Hitachi, Ltd."
10339720,"Lumen Technologies, Inc."
10343130,"Compass Datacenters, LLC"
10259517,"Cogent Communications Holdings, Inc."
10362566,"Amazon.com, Inc."
10362198,"Rowan Green Data, LLC"
10362423,"STACK Infrastructure, Inc."
10340729,"Hitachi, Ltd."
10362389,"CapRock Partners, LLC"
10362204,"STACK Infrastructure, Inc."
10343067,"Headwaters Site Development, L.L.C."
10343179,KETTLER Inc.
10338625,"Lumen Technologies, Inc."
10349526,Basis Bay Sdn Bhd
10349527,Keppel DC REIT
10338621,Lumos Networks Corp.
10317389,CERNET Corporation
10342039,DC BLOX Inc.
10339716,"Lumen Technologies, Inc."
10317444,"China United Network Communications Group Co., Ltd."
10317970,China Telecom Corporation Limited
10317563,"Zhengzhou Gainet Network Technology Co.,Ltd"
10317566,China Mobile Limited
10343275,"Meta Platforms, Inc."
10340604,"NTT EAST, Inc."
10362446,Tract
10339713,"Fibernet, Inc."
10343444,Alphabet Inc.
10349691,Vocus Group Limited
10320352,"Digital Realty Trust, Inc."
10349492,Telstra Group Limited
10343484,Microsoft Corporation
10362561,"Amazon.com, Inc."
10340282,Westdale 2020 Live Oak LP
10362562,"Amazon.com, Inc."
10340175,"Bluelock, LLC"
10088318,"Blackstone Real Estate Income Trust, Inc."
10339439,"Webnet Memphis, Inc."
10339490,"Peace Communications, LLC"
10185435,"Switch, Inc."
10362447,Tract
10343184,"JK Land Holdings, LLC"
10342122,Tract
10340065,"CeraNet, Inc."
10317899,China Telecom Corporation Limited
10338766,"Lumen Technologies, Inc."
10339767,CyrusOne Inc.
10340153,"Lifeline Data Centers, LLC"
10362201,"STACK Infrastructure, Inc."
10338771,"Lumen Technologies, Inc."
10340286,"Rackspace US, Inc."
10340289,"Digital Realty Trust, Inc."
10343320,Microsoft Corporation
10349361,"QTS Realty Trust, LLC"
10154977,COPT Defense Properties
10343063,"Headwaters Site Development, L.L.C."
10343182,
10362564,"Amazon.com, Inc."
10349824,Velocity Servers
10340359,"Stream Data Centers, L.P."
10247347,NTT Global Data Centers Preparatory Corporation
10362203,"STACK Infrastructure, Inc."
10088222,"Blackstone Real Estate Income Trust, Inc."
10340062,"STACK Infrastructure, Inc."
10343289,Alphabet Inc.
10097746,"Equinix, Inc."
10342125,Tract
10362387,"CapRock Partners, LLC"
10362388,"CapRock Partners, LLC"
10341332,"Quantum Loophole, Inc."
10317477,"China United Network Communications Group Co., Ltd."
10338797,"Lumen Technologies, Inc."
10362563,"Amazon.com, Inc."
10362202,"STACK Infrastructure, Inc."
10341309,"Quantum Loophole, Inc."
10317474,"China United Network Communications Group Co., Ltd."
10342043,DC BLOX Inc.
10317902,China Telecom Corporation Limited
10259529,"Cogent Communications Holdings, Inc."
10343081,"The Peterson Companies, LLC"
10340675,"BroadBand Tower, Inc."
10340661,Tokai Communications Corporation
10340664,Tokai Communications Corporation
10352687,China Telecom Corporation Limited
10317585,"China United Network Communications Group Co., Ltd."
10362431,"T5 Data Centers, LLC"
10247440,EdgeConneX
10317392,China Mobile Limited
10317391,China Mobile Limited
10320329,"Zayo Group Holdings, Inc."
10244984,"Cogent Communications Holdings, Inc."
10349697,SUBLIME IP
10343472,Alphabet Inc.
10343151,"QTS Realty Trust, LLC"
10342084,"Digital Fortress Holdings, Inc."
10317978,China Telecom Corporation Limited
10362430,"T5 Data Centers, LLC"
10340970,TA Realty LLC
10362432,"T5 Data Centers, LLC"
10340492,"Keihanshin Building Co., Ltd."
10343154,"QTS Realty Trust, LLC"
10340332,"Secured Network Services, Inc."
10339744,
10343098,"Compass Datacenters, LLC"
10349533,Bridge Data Centres (International) Pte. Ltd.
10352651,China Telecom Corporation Limited
10362434,"T5 Data Centers, LLC"
10343470,"Amazon.com, Inc."
10362588,"MARA Holdings, Inc."
10362415,"QTS Realty Trust, LLC"
10320235,Verizon Communications Inc.
10340996,TA Realty LLC
10317981,China Telecom Corporation Limited
10133903,CyrusOne Inc.
10362433,"T5 Data Centers, LLC"
10317461,"China United Network Communications Group Co., Ltd."
10320327,"Zayo Group Holdings, Inc."
10362408,Prometheus Hyperscale
10339465,Smith & Hammaker
10259492,"Cogent Communications Holdings, Inc."
10320293,Verizon Communications Inc.
10340177,LifeGrid Internet
10338589,"Digital Realty Trust, Inc."
10341016,cloudHQ LLC
10340665,Useable Net
10317467,"China United Network Communications Group Co., Ltd."
10317454,"China United Network Communications Group Co., Ltd."
10317579,"China United Network Communications Group Co., Ltd."
10317581,"China United Network Communications Group Co., Ltd."
10349509,Wharf T&T Outsourcing Services Limited
10128966,"Digital Realty Trust, Inc."
10340560,NTT DATA Group Corporation
10340563,"NTT EAST, Inc."
10317456,"China United Network Communications Group Co., Ltd."
10349712,OMNIconnect Pty Ltd
10317465,"China United Network Communications Group Co., Ltd."
10338580,Aptum Technologies
10317476,ChinaCache International Holdings Ltd.
10318317,ChinaCache International Holdings Ltd.
10362414,"QTS Realty Trust, LLC"
10343478,"Meta Platforms, Inc."
10226715,"Vantage Data Centers Management Company, LLC"
10343283,"Amazon.com, Inc."
10349377,"Compass Datacenters, LLC"
10340344,Verizon Communications Inc.
10123850,"Digital Realty Trust, Inc."
10340600,"NTT EAST, Inc."
10167236,"Sungard Availability Services Capital, Inc."
10349487,T.C.C. Technology Company Limited
10320222,Verizon Communications Inc.
10259510,"Cogent Communications Holdings, Inc."
10167544,"Zayo Group Holdings, Inc."
10340168,"Intelligent Fiber Network, LLC"
10349696,iVisions
10343476,"Amazon.com, Inc."
10259863,"T5 Data Centers, LLC"
10362428,"T5 Data Centers, LLC"
10338800,"Lumen Technologies, Inc."
10362412,"Province Realty Group, Inc."
10362413,"Province Realty Group, Inc."
10349713,"Equinix, Inc."
10343144,"QTS Realty Trust, LLC"
10340285,Delta Telecom
10349305,TA Realty LLC
10340858,"DataBank Holdings, Ltd."
10340164,"Intelligent Fiber Network, LLC"
10320337,"Zayo Group Holdings, Inc."
10340349,"Secured Network Services, Inc."
10317987,"China United Network Communications Group Co., Ltd."
10320226,Verizon Communications Inc.
10340669,"Kagoya Japan, Inc."
10167504,Alphabet Inc.
10320194,"Data102, LLC"
10349818,DXN Limited
10338583,Aptum Technologies
10349817,Over The Wire Pty Ltd.
10085876,iseek Pty Ltd.
10349405,"DR Fortress, LLC"
10320177,"Ascent, LLC"
10346465,"STACK Infrastructure, Inc."
10339454,Morristown Utility Commission
10362409,"Provident Realty Advisors, Inc."
10341964,Amanah Tech
10339608,"Blackstone Real Estate Income Trust, Inc."
10362427,"T5 Data Centers, LLC"
10340340,"STACK Infrastructure, Inc."
10343149,"QTS Realty Trust, LLC"
10343302,Apple Inc.
10246363,"DataBank Holdings, Ltd."
10259534,"Cogent Communications Holdings, Inc."
10338787,"Lumen Technologies, Inc."
10320233,Verizon Communications Inc.
10117798,COPT Defense Properties
10338782,"Lumen Technologies, Inc."
10343101,"Compass Datacenters, LLC"
10185092,Novva Data Centers
10339778,Nova Corp Inc.
10320162,Midco LLC
10343142,"QTS Realty Trust, LLC"
10259531,"Cogent Communications Holdings, Inc."
10319950,"STACK Infrastructure, Inc."
10142876,"QTS Realty Trust, LLC"
10317882,China Mobile Limited
10340832,cloudHQ LLC
10246389,"DataBank Holdings, Ltd."
10362987,"Cogent Communications Holdings, Inc."
10342110,"QTS Realty Trust, LLC"
10338577,"Digital Realty Trust, Inc."
10340186,Baseline
10342107,"QTS Realty Trust, LLC"
10349534,TM ONE Berhad
10346846,Data Suites Murfreesboro
10342088,"Digital Fortress Holdings, Inc."
10320230,Verizon Communications Inc.
10349535,E-Global Innovative Sdn Bhd
10317880,China Mobile Limited
10362429,"T5 Data Centers, LLC"
10340181,"Global Access Point, LLC"
10343147,"QTS Realty Trust, LLC"
10343108,"Compass Datacenters, LLC"
10362590,Bitdeer Norway As
10339461,Flexential Inc.
10362986,"Cogent Communications Holdings, Inc."
10352663,China Telecom Corporation Limited
10346849,"Webnet Memphis, Inc."
10340736,NSW Inc.
10340740,JR East Information Systems Company
10340950,"DataBank Holdings, Ltd."
10340915,cloudHQ LLC
10343300,Alphabet Inc.
10362410,"Province Realty Group, Inc."
10362411,"Province Realty Group, Inc."
10340506,NEC Corporation
10167325,NTT Global Data Centers Preparatory Corporation
66941,"S.J. Collins Enterprises, Inc."
10139985,Iadvantage Limited
10362589,"Salcido Enterprises, LLC"
10343105,"Compass Datacenters, LLC"
10317390,China Mobile Limited
10338792,"Netrality Property Trust, LLC"
10167505,Alphabet Inc.
10339601,Mapletree Industrial Trust
10167354,"ePLDT, Inc."
10317365,China Communication Group Ltd.
10349698,Acer Incorporated
10317483,"Kehua Data Co., Ltd."
10317876,China Mobile Limited
10185116,"T5 Data Centers, LLC"
10349485,T.C.C. Technology Company Limited
10342062,"SDP Acquisitions, LLC"
10349486,T.C.C. Technology Company Limited
10362424,"Stream Data Centers, L.P."
10343294,"Amazon.com, Inc."
10349530,Bridge Data Centres (International) Pte. Ltd.
10343482,Apple Inc.
10343480,Microsoft Corporation
10352641,"China United Network Communications Group Co., Ltd."
10362437,"T5 Data Centers, LLC"
10349490,PT. Telekomunikasi Indonesia International
10338789,"Lumen Technologies, Inc."
10338922,"Lumen Technologies, Inc."
10362401,PowerHouse Data Centers
10342065,"T5 Data Centers, LLC"
10167527,"Zayo Group Holdings, Inc."
10343310,Microsoft Corporation
10338805,"Lumen Technologies, Inc."
10349512,Global Switch Holdings Limited
10340743,NTT DATA Group Corporation
10128530,COPT Defense Properties
10340193,"Nexcess.Net, LLC"
10343460,"Amazon.com, Inc."
10317878,China Mobile Limited
10246393,165 Halsey Street Inc.
10340485,NEC Corporation
10362419,"QTS Realty Trust, LLC"
10338775,"Lumen Technologies, Inc."
10181590,EdgeConneX
10362577,HyperBlock Inc.
10341159,"EdgeCore Internet Real Estate, LLC"
10341125,COPT Defense Properties
10320249,Verizon Communications Inc.
10320247,Verizon Communications Inc.
10317447,"China United Network Communications Group Co., Ltd."
10343286,"Amazon.com, Inc."
10362591,Hut 8 Mining Corp.
10352648,China Mobile Limited
10246375,"DataBank Holdings, Ltd."
10320316,"Zayo Group Holdings, Inc."
10343165,"QTS Realty Trust, LLC"
10349379,"QTS Realty Trust, LLC"
10346857,Data One Corporation
10317893,China Telecom Corporation Limited
10362576,HIVE Digital Technologies Ltd.
10349303,"QTS Realty Trust, LLC"
10362397,PowerHouse Data Centers
10340720,"Amazon.com, Inc."
10362440,TA Realty LLC
10352647,"ChinaNet Technology(SuZhou)CO.,LTD"
10338606,Lumos Networks Corp.
10342115,"QTS Realty Trust, LLC"
10340672,"Kagoya Japan, Inc."
10362398,PowerHouse Data Centers
10343118,"Compass Datacenters, LLC"
10317891,China Telecom Corporation Limited
10349716,Global Switch Holdings Limited
10259520,"Cogent Communications Holdings, Inc."
10349515,Verizon Communications Inc.
10362418,"QTS Realty Trust, LLC"
10183900,"Expedient Holdings USA, LLC"
10338575,"Keystone NAP, LLC"
10362417,"QTS Realty Trust, LLC"
10246383,"DataBank Holdings, Ltd."
10340313,CyrusOne Inc.
10339612,
10349710,"Micron21 Pty, Ltd."
10343453,"Meta Platforms, Inc."
10343456,"Meta Platforms, Inc."
10349711,Vocus Group Limited
10343315,Microsoft Corporation
10343133,"QTS Realty Trust, LLC"
10338601,Lumos Networks Corp.
10338599,Lumos Networks Corp.
10352693,China Telecom Corporation Limited
10339800,"Bicoastal Communications, Inc."
10183811,"TierPoint, LLC"
10343291,Microsoft Corporation
10349715,
10343085,"The Peterson Companies, LLC"
10362439,TA Realty LLC
10362399,PowerHouse Data Centers
10362438,TA Realty LLC
10340732,"Hitachi, Ltd."
10317571,China Mobile Limited
10339729,"Syptec, Inc."
10343277,Alphabet Inc.
10317573,China Telecom Corporation Limited
10362400,PowerHouse Data Centers
10349822,Tier 5
10349821,TasmaNet Pty Ltd
10317472,"China United Network Communications Group Co., Ltd."
10184585,"Cogent Communications Holdings, Inc."
10339734,EdgeConneX
10340052,CyrusOne Inc.
10362587,Board Basics LLC
10349537,Everworks
10340158,"Lifeline Data Centers, LLC"
10317887,China Telecom Corporation Limited
10259528,"Cogent Communications Holdings, Inc."
10317884,China Mobile Limited
10338925,"Lumen Technologies, Inc."
10349819,
10183587,TPG Telecom Limited
10320321,"Zayo Group Holdings, Inc."
10340462,NEC Corporation
10339741,XMission LC
10342056,"Compass Datacenters, LLC"
10341028,cloudHQ LLC
10340483,NEC Corporation
10362092,"Tonaquint Data Centers, LLC"
10317494,"Shanghai Chinanetcenter Science & Technology Development Co., Ltd."
10318322,ChinaCache International Holdings Ltd.
10342104,"QTS Realty Trust, LLC"
10339472,Verizon Communications Inc.
10320239,"Netrality Property Trust, LLC"
10349310,cloudHQ LLC
10342113,"QTS Realty Trust, LLC"
10362593,"Salcido Enterprises, LLC"
10343095,"Compass Datacenters, LLC"
10317470,"China United Network Communications Group Co., Ltd."
10362406,PowerHouse Data Centers
10317342,CLP Holdings Limited
10317468,"China United Network Communications Group Co., Ltd."
10318290,"China United Network Communications Group Co., Ltd."
10183825,"TierPoint, LLC"
10338960,ManagedWay
10318320,ChinaCache International Holdings Ltd.
10339790,Earthlink Holdings Corp.
10339470,Verizon Communications Inc.
10320323,"Equinix, Inc."
10320325,"Digital Realty Trust, Inc."
10362435,"T5 Data Centers, LLC"
10362407,
10259536,"Cogent Communications Holdings, Inc."
10317577,"China United Network Communications Group Co., Ltd."
10339467,Webservio Inc.
10352696,China Telecom Corporation Limited
10342082,"Digital Fortress Holdings, Inc."
10352699,"China United Network Communications Group Co., Ltd."
10343304,"Meta Platforms, Inc."
10340606,"NTT EAST, Inc."
10362581,Hut 8 Mining Corp.
10342091,Hourigan Development LLC
10317990,"China United Network Communications Group Co., Ltd."
10317404,"China United Network Communications Group Co., Ltd."
10179932,"Cogent Communications Holdings, Inc."
10349514,5G Networks Limited
10340595,"NTT EAST, Inc."
10349378,"QTS Realty Trust, LLC"
10343466,Microsoft Corporation
10343157,"QTS Realty Trust, LLC"
10340597,"NTT EAST, Inc."
10343137,"QTS Realty Trust, LLC"
10320345,"DataBank Holdings, Ltd."
10320342,Alphabet Inc.
10338593,Coloblox Data Centers
10349513,"Equinix, Inc."
10343138,"QTS Realty Trust, LLC"
10340187,"123.Net, LLC."
10349489,TPG Telecom Limited
10349488,TPG Telecom Limited
10340326,Northwood Investors LLC
10342094,PointOne Development Corp.
10340330,"Markley, LLC"
10317431,"China United Network Communications Group Co., Ltd."
10362598,Atlas Power Group LLC
10340608,"NTT EAST, Inc."
10340735,"Hitachi, Ltd."
10186168,"ServerFarm, LLC"
10342101,"QTS Realty Trust, LLC"
10317452,"China United Network Communications Group Co., Ltd."
10320242,"Digital Realty Trust, Inc."
10343088,"The Peterson Companies, LLC"
10342068,"T5 Data Centers, LLC"
10338802,"Lumen Technologies, Inc."
10340161,"The Brookfield Group, LLC"
10342071,"T5 Data Centers, LLC"
10318311,"China United Network Communications Group Co., Ltd."
10338778,"Lumen Technologies, Inc."
10183496,Dbt-Data LLC
10358804,"Iron Mountain Data Centers, LLC"
10338781,"Lumen Technologies, Inc."
10343114,"Compass Datacenters, LLC"
10340612,"NTT EAST, Inc."
10181550,"Switch, Inc."
10167501,"QTS Realty Trust, LLC"
10362018,"Digital Realty Trust, Inc."
10317450,"China United Network Communications Group Co., Ltd."
10259486,"Cogent Communications Holdings, Inc."
10244833,"Cogent Communications Holdings, Inc."
10349820,TasmaNet Pty Ltd
10362416,"QTS Realty Trust, LLC"
10362402,PowerHouse Data Centers
10339450,Litewire
10362578,Board Basics LLC
10186165,"ServerFarm, LLC"
10339451,"Mike Collins & Associates, Inc."
10339477,Verizon Communications Inc.
10075974,"Digital Realty Trust, Inc."
10340734,"Hitachi, Ltd."
10343163,"QTS Realty Trust, LLC"
10349536,Bridge Data Centres (International) Pte. Ltd.
10343462,"Meta Platforms, Inc."
10338748,"Amazon.com, Inc."
10317575,China Telecom Corporation Limited
10362403,PowerHouse Data Centers
10317323,CERNET Corporation
10349695,Chief Telecom Inc.
10340321,"Berkeley Investments, Inc."
10340323,"Markley, LLC"
10349508,Webvisions Pte Ltd.
10362579,"Soluna Holdings, Inc."
10339474,Verizon Communications Inc.
10343307,"Amazon.com, Inc."
10339797,"Front Range Internet, Inc."
10317457,ChinaCache International Holdings Ltd.
10259500,"Cogent Communications Holdings, Inc."
10320229,
10362404,PowerHouse Data Centers
10362405,PowerHouse Data Centers
10362426,"Stream Data Centers, L.P."
10318315,ChinaCache International Holdings Ltd.
10343092,"Compass Datacenters, LLC"
10349507,Webvisions Pte Ltd.
10167352,"ePLDT, Inc."
10184160,"LightEdge Solutions, Inc."
10320217,Verizon Communications Inc.
10338598,"fifteenfortyseven Critical Systems Realty, LLC"
10349816,DC Alliance LTD
10341072,cloudHQ LLC
10340566,"NTT EAST, Inc."
10317973,China Telecom Corporation Limited
10362436,"T5 Data Centers, LLC"
10319869,"Voonami, LLC"
10320220,Verizon Communications Inc.
10317975,China Telecom Corporation Limited
10259530,"Cogent Communications Holdings, Inc."
10349531,Extreme Broadband Sdn Bhd
10349532,Bridge Data Centres (International) Pte. Ltd.
10349694,NetLan
10349690,"ePLDT, Inc."
10343112,"Compass Datacenters, LLC"
10362425,"Stream Data Centers, L.P."
10338594,"Digital Realty Trust, Inc."
10362558,"Amazon.com, Inc."
10362299,CyrusOne Inc.
10362345,"Meta Platforms, Inc."
10338691,"Lumen Technologies, Inc."
10362298,CyrusOne Inc.
10342127,Harbour Centre
10178020,"Colony Capital, Inc."
10362295,CyrusOne Inc.
10349380,Apple Inc.
10341988,"QTS Realty Trust, LLC"
10338689,"Lumen Technologies, Inc."
10362348,"Meta Platforms, Inc."
10183504,"H5 Data Centers, LLC"
10133836,"Equinix, Inc."
10341937,Copper Ridge Culpeper LLC
10362297,CyrusOne Inc.
10362296,CyrusOne Inc.
10362346,"Meta Platforms, Inc."
10362347,"Meta Platforms, Inc."
10362300,CyrusOne Inc.
10338827,"Lumen Technologies, Inc."
10125036,CyrusOne Inc.
10340135,"Global Access Point, LLC"
10362342,"Meta Platforms, Inc."
10362305,Dbt-Data LLC
10320277,"Digital Realty Trust, Inc."
10317937,China Telecom Corporation Limited
10362497,Hamilton Telephone Company
10341943,"The Peterson Companies, LLC"
10342077,TNW Networks Corp.
10362307,The Daly Group LLC
10362306,Dbt-Data LLC
10133837,"Equinix, Inc."
10349834,iseek Pty Ltd.
10362532,"Amazon.com, Inc."
10362533,"Amazon.com, Inc."
10342123,KDDI Corporation
10341982,
10346912,American Real Estate Partners
10362344,"Meta Platforms, Inc."
10320274,Verizon Communications Inc.
10342171,"QTS Realty Trust, LLC"
10362302,Dbt-Data LLC
10362301,Data Core Innovations
10343381,"Stream Data Centers, L.P."
10338696,"Lumen Technologies, Inc."
10341933,Copper Ridge Culpeper LLC
10362343,"Meta Platforms, Inc."
10342116,Urbacon Limited
10183253,Evoque
10343377,Alphabet Inc.
10338847,"H5 Data Centers, LLC"
10341980,AUBix
10362304,Dbt-Data LLC
10362303,Dbt-Data LLC
10342119,Urbacon Limited
10352601,Hua An Tian Wang (Beijing) Information Technology Company Limited
10343379,Microsoft Corporation
10341941,Copper Ridge Culpeper LLC
10349521,CS Loxinfo Public Company Limited
10343240,"Stream Data Centers, L.P."
10352671,"China United Network Communications Group Co., Ltd."
10340140,"Global Access Point, LLC"
10362285,CyrusOne Inc.
10362284,CyrusOne Inc.
10340635,"STNet Co., Ltd."
10317953,China Telecom Corporation Limited
10362286,CyrusOne Inc.
10142880,"QTS Realty Trust, LLC"
10339535,"DartPoints, LLC"
10362283,Crusoe Energy Systems LLC
10343261,"Amazon.com, Inc."
10362537,"Amazon.com, Inc."
10359774,Intermetro Fiber LLC
10339158,"Equinix, Inc."
10362282,Crusoe Energy Systems LLC
10362469,"AVAIO Digital Management, LLC"
10362468,"DataBank Holdings, Ltd."
10226713,"Vantage Data Centers Management Company, LLC"
10362352,Microsoft Corporation
10362353,Microsoft Corporation
10362354,Microsoft Corporation
10167506,Alphabet Inc.
10343394,Alphabet Inc.
10338677,"Lumen Technologies, Inc."
10341922,"The Peterson Companies, LLC"
10349336,Copper Ridge Culpeper LLC
10338686,"Lumen Technologies, Inc."
10342130,TNW Networks Corp.
10349517,"NTT DOCOMO BUSINESS, Inc."
10339671,Flexential Inc.
10341931,Copper Ridge Culpeper LLC
10346877,"DataBank Holdings, Ltd."
10340535,Nippon Telegraph And Telephone West Corporation
10339677,"ARK Data Centers, LLC"
10133835,"Equinix, Inc."
10187153,Element Critical
10186850,eStruxture Data Centers Inc.
10185093,"Cologix, Inc."
10187098,"Ascent, LLC"
10343385,"Meta Platforms, Inc."
10362292,CyrusOne Inc.
10362294,CyrusOne Inc.
10362293,CyrusOne Inc.
10342175,"ARK Data Centers, LLC"
10362534,"Amazon.com, Inc."
10317418,China Telecom Corporation Limited
10317935,China Telecom Corporation Limited
10317421,China Telecom Corporation Limited
10342178,Enseva
10338894,"Lumen Technologies, Inc."
10317932,China Telecom Corporation Limited
10320288,Verizon Communications Inc.
10342139,DC BLOX Inc.
10346067,Verizon Communications Inc.
10338891,"Lumen Technologies, Inc."
10362349,"Meta Platforms, Inc."
10349518,NTT Global Data Centers Preparatory Corporation
10343237,Microsoft Corporation
10320270,Verizon Communications Inc.
10128610,Mapletree Industrial Trust
10362291,CyrusOne Inc.
10317493,"China United Network Communications Group Co., Ltd."
10362350,Microsoft Corporation
10338680,CoreSite Realty Corporation
10362351,Microsoft Corporation
10183505,"H5 Data Centers, LLC"
10183507,"H5 Data Centers, LLC"
10167499,Alphabet Inc.
10343233,Alphabet Inc.
10362535,"Amazon.com, Inc."
10349833,iseek Pty Ltd.
10343342,"Amazon.com, Inc."
10341992,"QTS Realty Trust, LLC"
10341994,"QTS Realty Trust, LLC"
10189244,"QTS Realty Trust, LLC"
10362288,CyrusOne Inc.
10362287,CyrusOne Inc.
10349719,Global Switch Holdings Limited
10340700,"BroadBand Tower, Inc."
10362470,"AVAIO Digital Management, LLC"
10362536,"Amazon.com, Inc."
10349704,NEXTDC Limited
10338740,"Lumen Technologies, Inc."
10317813,"China United Network Communications Group Co., Ltd."
10317544,Bell MTS
10349499,Verizon Communications Inc.
10349522,"Digital Realty Trust, Inc."
10167332,NTT Global Data Centers Preparatory Corporation
10317546,"Netnic (Beijing) Network Co., Ltd."
10362290,CyrusOne Inc.
10362289,CyrusOne Inc.
10341929,Copper Ridge Culpeper LLC
