county_fips,announce_year,conf,name,state,dc_class,first_op_year,lead
31081,2010.0,M,Hamilton County,NE,mixed,2011.0,1.0
31153,2017.0,H,Sarpy County,NE,clean_dc,2001.0,-16.0
32003,2000.0,M,Clark County,NV,clean_dc,2000.0,0.0
32031,2012.0,H,Washoe County,NV,clean_dc,2013.0,1.0
35061,2016.0,H,Valencia County,NM,clean_dc,2018.0,2.0
36063,2019.0,M,Niagara County,NY,mixed,2021.0,2.0
36089,2018.0,H,St. Lawrence County,NY,crypto,2021.0,3.0
37027,2007.0,H,Caldwell County,NC,clean_dc,2004.0,-3.0
37035,2009.0,H,Catawba County,NC,clean_dc,2011.0,2.0
37069,2017.0,M,Franklin County,NC,crypto,2017.0,0.0
37161,2010.0,H,Rutherford County,NC,mixed,2011.0,1.0
38021,2022.0,H,Dickey County,ND,crypto,2023.0,1.0
38035,2021.0,H,Grand Forks County,ND,crypto,2021.0,0.0
38093,2021.0,H,Stutsman County,ND,crypto,2022.0,1.0
38105,2022.0,H,Williams County,ND,mixed,2022.0,0.0
39045,2024.0,M,Fairfield County,OH,clean_dc,2024.0,0.0
39049,2015.0,M,Franklin County,OH,clean_dc,2001.0,-14.0
39063,2024.0,M,Hancock County,OH,crypto,2024.0,0.0
39089,2017.0,H,Licking County,OH,clean_dc,2016.0,-1.0
39111,2021.0,M,Monroe County,OH,crypto,2022.0,1.0
39159,2021.0,M,Union County,OH,clean_dc,2023.0,2.0
40097,2007.0,H,Mayes County,OK,clean_dc,2011.0,4.0
40101,2024.0,H,Muskogee County,OK,crypto,2024.0,0.0
41013,2009.0,H,Crook County,OR,clean_dc,2011.0,2.0
41049,2010.0,M,Morrow County,OR,clean_dc,2011.0,1.0
41059,2011.0,M,Umatilla County,OR,clean_dc,2012.0,1.0
41065,2005.0,H,Wasco County,OR,clean_dc,2006.0,1.0
41067,2000.0,M,Washington County,OR,clean_dc,2002.0,2.0
42007,2022.0,H,Beaver County,PA,crypto,2023.0,1.0
42079,2021.0,H,Luzerne County,PA,mixed,2023.0,2.0
42121,2021.0,M,Venango County,PA,crypto,2021.0,0.0
45015,2007.0,H,Berkeley County,SC,clean_dc,2008.0,1.0
45083,2022.0,H,Spartanburg County,SC,mixed,2022.0,0.0
45087,2022.0,H,Union County,SC,crypto,2023.0,1.0
45091,2023.0,H,York County,SC,clean_dc,2014.0,-9.0
47013,2022.0,M,Campbell County,TN,crypto,2024.0,2.0
47025,2021.0,L,Claiborne County,TN,crypto,2024.0,3.0
47035,2022.0,L,Cumberland County,TN,crypto,2024.0,2.0
47105,2021.0,M,Loudon County,TN,crypto,2023.0,2.0
47107,2023.0,L,McMinn County,TN,clean_dc,2024.0,1.0
47113,2024.0,H,Madison County,TN,mixed,2025.0,1.0
47121,2020.0,L,Meigs County,TN,crypto,2021.0,1.0
47125,2015.0,H,Montgomery County,TN,clean_dc,2019.0,4.0
47151,2020.0,M,Scott County,TN,crypto,2021.0,1.0
47165,2020.0,H,Sumner County,TN,clean_dc,2023.0,3.0
47173,2021.0,M,Union County,TN,crypto,2022.0,1.0
48003,2021.0,M,Andrews County,TX,crypto,2022.0,1.0
48045,2021.0,H,Briscoe County,TX,clean_dc,2025.0,4.0
48067,2021.0,L,Cass County,TX,crypto,2022.0,1.0
48075,2022.0,H,Childress County,TX,crypto,2023.0,1.0
48103,2022.0,L,Crane County,TX,crypto,2023.0,1.0
48109,2023.0,H,Culberson County,TX,crypto,2024.0,1.0
48125,2021.0,H,Dickens County,TX,crypto,2022.0,1.0
48135,2021.0,H,Ector County,TX,crypto,2022.0,1.0
48139,2017.0,H,Ellis County,TX,clean_dc,2019.0,2.0
48173,2022.0,H,Glasscock County,TX,crypto,2022.0,0.0
48221,2022.0,H,Hood County,TX,crypto,2022.0,0.0
48275,2023.0,L,Knox County,TX,clean_dc,2025.0,2.0
48277,2023.0,L,Lamar County,TX,crypto,2025.0,2.0
48325,2021.0,M,Medina County,TX,clean_dc,2022.0,1.0
48331,2018.0,H,Milam County,TX,crypto,2019.0,1.0
48349,2022.0,H,Navarro County,TX,crypto,2025.0,3.0
48355,2025.0,M,Nueces County,TX,mixed,2023.0,-2.0
48371,2021.0,H,Pecos County,TX,mixed,2021.0,0.0
48389,2021.0,M,Reeves County,TX,crypto,2022.0,1.0
48441,2021.0,H,Taylor County,TX,mixed,2022.0,1.0
48461,2021.0,H,Upton County,TX,crypto,2022.0,1.0
48475,2021.0,M,Ward County,TX,mixed,2022.0,1.0
49035,2009.0,M,Salt Lake County,UT,clean_dc,2006.0,-3.0
49049,2018.0,H,Utah County,UT,clean_dc,2013.0,-5.0
51047,2007.0,H,Culpeper County,VA,clean_dc,2008.0,1.0
51061,2016.0,H,Fauquier County,VA,clean_dc,2014.0,-2.0
51087,2010.0,H,Henrico County,VA,clean_dc,2010.0,0.0
51107,1998.0,H,Loudoun County,VA,clean_dc,2000.0,2.0
51153,2003.0,M,Prince William County,VA,clean_dc,2003.0,0.0
51193,2019.0,L,Westmoreland County,VA,clean_dc,2020.0,1.0
53017,2006.0,H,Douglas County,WA,mixed,2008.0,2.0
53025,2005.0,H,Grant County,WA,mixed,2008.0,3.0
53051,2021.0,H,Pend Oreille County,WA,crypto,2024.0,3.0
55101,2023.0,H,Racine County,WI,clean_dc,2024.0,1.0
56021,2012.0,H,Laramie County,WY,mixed,2002.0,-10.0
