geoid,state,county_name,municipality_name,covered_any_year,covered_2period_FY17_FY24,covered_n_years,covered_balanced9,covered_gf_any_year,covered_gf_2period_FY17_FY24,covered_gf_n_years,fiscal_year_max
01127,AL,Walker County,Walker County Commission,True,False,4,False,True,False,4,2021
01129,AL,Washington County,"Washington County, FL",True,True,9,True,True,True,9,2024
01133,AL,DeKalb County,DeKalb County Commission,True,True,8,False,True,True,8,2024
01209,FL,Montgomery County,"Sumter County, Florida",True,False,3,False,True,False,3,2025
02013,AK,Anchorage Municipality,Aleutians East Borough,True,True,9,True,True,True,9,2024
02020,AK,,"Municipality of Anchorage, Alaska",True,False,3,False,True,False,3,2018
02060,AK,,Bristol Bay Borough,True,False,8,False,True,False,8,2023
02068,AK,,DENALI BOROUGH,True,False,2,False,True,False,2,2022
02100,AK,,Haines Borough,True,True,9,True,True,True,9,2024
02110,AK,Juneau City and Borough,"City and Borough of Juneau, Alaska",True,True,8,False,True,True,8,2024
02122,AK,,"Kenai Peninsula Borough, Alaska",True,False,9,True,True,False,9,2025
02150,AK,,KODIAK ISLAND BOROUGH,True,True,9,True,True,True,9,2024
02164,AK,,LAKE AND PENINSULA BOROUGH,True,False,5,False,True,False,5,2023
02170,AK,,Matanuska-Susitna Borough,True,True,9,True,True,True,9,2024
02185,AK,,North Slope Borough,True,True,8,False,True,True,8,2025
02188,AK,,NORTHWEST ARCTIC BOROUGH,True,True,8,False,True,True,8,2024
02195,AK,,"Petersburg Borough, Alaska",True,True,9,True,True,True,9,2025
02220,AK,Prince of Wales-Hyder Census Area,"City and Borough of Sitka, Alaska",True,True,8,False,True,True,8,2024
02275,AK,,"City and Borough of Wrangell, Alaska",True,True,9,True,True,True,9,2024
02282,AK,,"City and Borough of Yakutat, Alaska",True,False,8,False,True,False,8,2024
04001,AZ,Apache County,"Apache County, Arizona",True,False,7,False,True,False,7,2022
04003,AZ,Cochise County,Cochise County,True,True,9,True,True,True,9,2024
04005,AZ,Coconino County,Coconino County,True,True,8,False,True,True,8,2024
04007,AZ,Gila County,Gila County,True,True,8,False,True,True,8,2024
04009,AZ,Graham County,Graham County,True,True,9,True,True,True,9,2024
04011,AZ,,"GREENLEE COUNTY, ARIZONA",True,True,8,False,True,True,8,2024
04012,AZ,La Paz County,La Paz County,True,True,9,True,True,True,9,2024
04013,AZ,Maricopa County,Maricopa County,True,True,9,True,True,False,8,2024
04015,AZ,Mohave County,Mohave County,True,True,9,True,True,True,9,2024
04017,AZ,Navajo County,Navajo County,True,True,9,True,True,True,9,2024
04019,AZ,Pima County,Pima County,True,True,10,True,True,True,10,2025
04021,AZ,Pinal County,"Pinal County, Arizona",True,True,9,True,True,True,9,2024
04023,AZ,,Santa Cruz County,True,False,8,False,True,False,8,2023
04025,AZ,Yavapai County,Yavapai County,True,True,9,True,True,True,9,2024
04027,AZ,Yuma County,Yuma County,True,True,9,True,True,True,9,2024
05005,AR,,"Baxter County, Arkansas",True,False,1,False,True,False,1,2022
05031,AR,,"Craighead County, Arkansas",True,False,1,False,True,False,1,2020
05063,AR,Independence County,Independence County,True,False,2,False,True,False,2,2017
05085,AR,Lonoke County,Lonoke County,True,False,1,False,True,False,1,2018
05087,AR,Madison County,"Madison County, Arkansas",True,False,1,False,True,False,1,2017
05119,AR,Pulaski County,"Pulaski County, Arkansas",True,True,6,False,True,True,6,2024
05137,AR,Stone County,"Stone County, Arkansas",True,False,1,False,True,False,1,2019
06003,CA,,County of Alpine,True,True,9,True,True,True,9,2024
06005,CA,Amador County,County of Amador,True,True,9,True,True,True,9,2024
06007,CA,Butte County,County of Butte,True,True,9,True,True,True,9,2024
06009,CA,Calaveras County,County of Calaveras,True,True,9,True,True,False,8,2024
06011,CA,Colusa County,COUNTY OF COLUSA,True,True,8,False,True,True,8,2024
06013,CA,Contra Costa County,County of Contra Costa,True,True,9,True,True,True,9,2024
06015,CA,Del Norte County,County of Del Norte,True,True,9,True,True,True,9,2024
06017,CA,El Dorado County,County of El Dorado,True,False,8,False,True,False,8,2023
06019,CA,Fresno County,County of Fresno,True,False,7,False,True,False,7,2023
06021,CA,Glenn County,County of Glenn,True,True,9,True,True,True,9,2024
06023,CA,Humboldt County,County of Humboldt,True,True,7,False,True,True,7,2024
06025,CA,Imperial County,County of Imperial,True,False,8,False,True,False,8,2023
06027,CA,,County of Inyo,True,True,10,True,True,True,10,2025
06029,CA,Kern County,County of Kern,True,True,9,True,True,True,9,2024
06031,CA,Kings County,County of Kings,True,True,9,True,True,True,9,2025
06033,CA,Lake County,COUNTY OF LAKE,True,True,9,True,True,True,9,2024
06035,CA,Lassen County,County of Lassen,True,False,7,False,True,False,7,2023
06037,CA,Los Angeles County,County of Los Angeles,True,True,8,False,True,True,8,2024
06039,CA,,County of Madera,True,True,8,False,True,True,8,2024
06041,CA,Marin County,County of Marin,True,True,9,True,True,True,9,2024
06043,CA,Mariposa County,COUNTY OF MARIPOSA,True,True,9,True,True,True,9,2025
06045,CA,Mendocino County,County of Mendocino,True,True,9,True,True,True,9,2024
06047,CA,Merced County,MERCED COUNTY,True,True,9,True,True,True,9,2024
06049,CA,Modoc County,County of Modoc,True,True,7,False,True,True,7,2024
06051,CA,,County of Mono,True,False,9,True,True,False,9,2025
06053,CA,,County of Monterey,True,True,9,True,True,True,9,2024
06055,CA,Napa County,County of Napa,True,True,9,True,True,True,9,2024
06057,CA,Nevada County,COUNTY OF NEVADA,True,True,10,True,True,True,10,2025
06059,CA,Orange County,"County of Orange, California",True,False,8,False,True,False,8,2023
06061,CA,Placer County,County of Placer,True,True,8,False,True,False,7,2024
06063,CA,Plumas County,County of Plumas,True,False,8,False,True,False,8,2023
06065,CA,Riverside County,County of Riverside,True,True,9,True,True,True,9,2024
06067,CA,Sacramento County,COUNTY OF SACRAMENTO,True,True,9,True,True,True,9,2024
06071,CA,San Bernardino County,SAN BERNARDINO COUNTY,True,True,9,True,True,True,9,2024
06073,CA,San Diego County,County of San Diego,True,False,6,False,True,False,6,2025
06075,CA,San Francisco County,City and County of San Francisco,True,False,4,False,True,False,4,2023
06077,CA,San Joaquin County,County of San Joaquin,True,True,9,True,True,False,8,2024
06079,CA,San Luis Obispo County,COUNTY OF SAN LUIS OBISPO,True,True,9,True,True,True,9,2024
06081,CA,San Mateo County,COUNTY OF SAN MATEO,True,False,6,False,True,False,5,2025
06083,CA,Santa Barbara County,County of Santa Barbara,True,True,8,False,True,True,8,2024
06085,CA,Santa Clara County,County of Santa Clara,True,True,8,False,True,True,8,2024
06087,CA,,County of Santa Cruz,True,True,9,True,True,True,9,2024
06089,CA,Shasta County,COUNTY OF SHASTA,True,False,8,False,True,False,8,2023
06091,CA,Sierra County,County of Sierra,True,True,8,False,True,True,8,2024
06093,CA,Siskiyou County,County of Siskiyou,True,True,9,True,True,True,9,2024
06095,CA,Solano County,COUNTY OF SOLANO,True,True,9,True,True,True,9,2024
06097,CA,Sonoma County,First 5 Sonoma County Commission,True,False,1,False,True,False,1,2024
06099,CA,Stanislaus County,COUNTY OF STANISLAUS,True,True,10,True,True,True,10,2025
06101,CA,Sutter County,COUNTY OF SUTTER,True,True,9,True,True,True,9,2024
06103,CA,Tehama County,County of Tehama,True,True,8,False,True,True,8,2024
06105,CA,,County of Trinity,True,True,8,False,True,True,8,2024
06107,CA,,COUNTY OF TULARE,True,True,8,False,True,True,8,2024
06115,CA,Yuba County,County of Yuba,True,True,9,True,True,True,9,2024
08001,CO,Adams County,"Adams County, Colorado",True,True,9,True,True,True,9,2024
08003,CO,,ALAMOSA COUNTY,True,True,9,True,True,True,9,2024
08005,CO,Arapahoe County,Arapahoe County,True,False,6,False,True,False,6,2023
08007,CO,Archuleta County,"Archuleta County, Colorado",True,True,8,False,True,True,8,2024
08009,CO,,"Baca County, Colorado",True,True,9,True,True,True,9,2024
08011,CO,,"Bent County, Colorado",True,True,9,True,True,True,9,2024
08013,CO,Boulder County,Boulder County,True,True,9,True,True,True,9,2024
08014,CO,Broomfield County,City and County of Broomfield,True,True,9,True,True,True,9,2024
08017,CO,,"Cheyenne County, Colorado",True,True,5,False,True,True,5,2024
08019,CO,Clear Creek County,Clear Creek County,True,True,9,True,True,True,9,2024
08021,CO,,"CONEJOS COUNTY, COLORADO",True,True,9,True,True,True,9,2024
08023,CO,,COSTILLA COUNTY,True,True,9,True,True,True,9,2024
08025,CO,Crowley County,"Crowley County, Colorado",True,True,9,True,True,True,9,2024
08027,CO,Custer County,Custer County,True,False,6,False,True,False,6,2024
08029,CO,Delta County,DELTA COUNTY,True,True,9,True,True,True,9,2024
08031,CO,Denver County,City and County of Denver,True,True,10,True,True,True,9,2025
08033,CO,Dolores County,DOLORES COUNTY COLORADO,True,True,9,True,True,True,9,2024
08035,CO,,Douglas County Government,True,True,9,True,True,True,9,2024
08037,CO,,Eagle County,True,True,9,True,True,False,8,2024
08039,CO,Elbert County,Elbert County Government,True,True,9,True,True,True,9,2024
08041,CO,El Paso County,El Paso County,True,True,9,True,True,True,9,2024
08043,CO,Fremont County,"Fremont County, Colorado",True,False,7,False,True,False,6,2024
08045,CO,Garfield County,"Garfield County, Colorado",True,True,9,True,True,True,9,2024
08047,CO,,Gilpin County,True,True,9,True,True,True,9,2024
08049,CO,Grand County,"GRAND COUNTY , COLORADO",True,True,9,True,True,True,9,2024
08051,CO,Gunnison County,Gunnison County,True,True,9,True,True,True,9,2024
08053,CO,Hinsdale County,"HINSDALE COUNTY, COLORADO",True,True,9,True,True,True,9,2024
08055,CO,,COUNTY OF HUERFANO,True,False,7,False,True,False,7,2022
08057,CO,,"Jackson County, Colorado",True,True,7,False,True,True,7,2024
08059,CO,Jefferson County,Jefferson County Government,True,False,8,False,True,False,8,2024
08063,CO,Kit Carson County,KIT CARSON COUNTY,True,True,9,True,True,True,9,2024
08065,CO,,"LAKE COUNTY, COLORADO",True,True,9,True,True,True,9,2024
08067,CO,La Plata County,La Plata County,True,True,9,True,True,True,9,2024
08069,CO,Larimer County,"Larimer County, Colorado",True,True,9,True,True,True,9,2024
08071,CO,Las Animas County,Las Animas County,True,True,6,False,True,False,4,2024
08073,CO,Lincoln County,"Lincoln County, Colorado",True,True,9,True,True,True,9,2024
08075,CO,Logan County,"Logan County, Colorado",True,True,9,True,True,True,9,2024
08077,CO,Mesa County,"Mesa County, Colorado",True,False,7,False,True,False,7,2022
08079,CO,Mineral County,Mineral County,True,True,8,False,True,True,8,2024
08081,CO,Moffat County,Moffat County,True,True,9,True,True,True,9,2024
08083,CO,Montezuma County,MONTEZUMA COUNTY COLORADO,True,True,9,True,True,True,9,2024
08085,CO,Montrose County,"MONTROSE COUNTY, COLORADO",True,True,9,True,True,True,9,2024
08087,CO,Morgan County,Morgan County,True,True,9,True,True,True,9,2024
08091,CO,Ouray County,OURAY COUNTY,True,True,9,True,True,True,9,2024
08093,CO,Park County,"Park County, Colorado",True,True,9,True,True,True,9,2024
08095,CO,Phillips County,"Phillips County, Colorado",True,True,6,False,True,True,6,2024
08097,CO,Pitkin County,Pitkin County,True,True,9,True,True,True,8,2024
08099,CO,Prowers County,"Prowers County, Colorado",True,True,9,True,True,True,9,2024
08101,CO,Pueblo County,PUEBLO COUNTY COLORADO,True,True,8,False,True,True,8,2024
08103,CO,Rio Blanco County,RIO BLANCO COUNTY,True,True,9,True,True,True,9,2024
08105,CO,Rio Grande County,RIO GRANDE COUNTY,True,True,9,True,True,True,9,2024
08107,CO,Routt County,Routt County,True,True,9,True,True,True,9,2024
08109,CO,Saguache County,SAGUACHE COUNTY,True,True,9,True,True,True,9,2024
08113,CO,San Miguel County,San Miguel County,True,False,7,False,True,False,7,2024
08115,CO,,"Sedgwick County, Colorado",True,False,6,False,True,False,6,2021
08117,CO,Summit County,Summit County Colorado,True,True,9,True,True,False,8,2024
08119,CO,Teller County,TELLER COUNTY GOVERNMENT,True,True,9,True,True,True,9,2024
08121,CO,Washington County,"Washington County, Colorado",True,True,9,True,True,True,9,2024
08123,CO,Weld County,WELD COUNTY GOVERNMENT,True,True,8,False,True,True,8,2024
08125,CO,Yuma County,"Yuma County, Colorado",True,True,9,True,True,True,9,2024
10001,DE,,"Kent County, DE Government (Kent County Levy Court)",True,True,7,False,True,True,7,2024
10003,DE,New Castle County,"New Castle County, Delaware",True,True,9,True,True,True,9,2024
10005,DE,Sussex County,"Sussex County, Delaware",True,True,9,True,True,True,9,2024
12001,FL,Alachua County,Alachua County,True,False,7,False,True,False,7,2022
12003,FL,Baker County,"BAKER COUNTY, FLORIDA",True,True,6,False,True,True,6,2024
12009,FL,Brevard County,"BREVARD COUNTY, FLORIDA",True,True,9,True,True,True,9,2025
12011,FL,Broward County,Broward County,True,True,9,True,True,True,9,2024
12013,FL,Calhoun County,"Calhoun County, Florida",True,True,8,False,True,False,7,2024
12015,FL,Charlotte County,"CHARLOTTE COUNTY, FLORIDA",True,False,5,False,True,False,5,2025
12017,FL,Citrus County,Citrus County Florida,True,True,9,True,True,True,9,2024
12019,FL,Clay County,"CLAY COUNTY, FLORIDA",True,False,7,False,True,False,7,2024
12021,FL,Collier County,Collier County,True,True,10,True,True,True,10,2025
12023,FL,Columbia County,"COLUMBIA COUNTY, FLORIDA",True,False,4,False,True,False,4,2024
12027,FL,,DeSoto County Board of County Commissioners,True,True,9,True,True,True,9,2024
12029,FL,,"Dixie County, Florida",True,False,3,False,True,False,3,2024
12033,FL,Escambia County,"ESCAMBIA COUNTY, FLORIDA",True,True,10,True,True,True,10,2025
12035,FL,,"FLAGLER COUNTY, FLORIDA",True,True,9,True,True,True,9,2024
12037,FL,Franklin County,"FRANKLIN COUNTY, FLORIDA",True,True,9,True,True,True,9,2024
12039,FL,Gadsden County,"Gadsden County, Florida",True,True,7,False,True,True,7,2024
12041,FL,Gilchrist County,GILCHRIST COUNTY,True,False,5,False,True,False,5,2024
12043,FL,Glades County,"GLADES COUNTY, FLORIDA",True,True,7,False,True,True,7,2024
12045,FL,,"GULF COUNTY, FLORIDA",True,False,8,False,True,False,8,2024
12047,FL,Hamilton County,"Hamilton County, Fl",True,False,7,False,True,False,7,2024
12049,FL,Hardee County,"Hardee County, FL",True,False,6,False,True,False,6,2024
12053,FL,Hernando County,"Hernando County, Florida",True,True,9,True,True,True,9,2024
12055,FL,Highlands County,HIGHLANDS COUNTY FLORIDA,True,False,5,False,True,False,5,2025
12057,FL,Hillsborough County,Hillsborough County,True,True,9,True,True,True,9,2024
12059,AL,Holmes County,Holmes County Florida,True,True,9,True,True,True,9,2025
12061,FL,Indian River County,County of Indian River,True,True,10,True,True,True,10,2025
12063,FL,Jackson County,"JACKSON COUNTY, FLORIDA",True,True,9,True,True,True,9,2024
12067,FL,Lafayette County,Lafayette County Board of County Commissioners,True,False,3,False,True,False,3,2023
12069,FL,Lake County,LAKE COUNTY,True,True,10,True,True,True,10,2025
12071,FL,Lee County,"Lee County, Florida",True,True,10,True,True,True,10,2025
12073,FL,Leon County,Leon County,True,True,9,True,True,True,9,2024
12075,FL,Levy County,LEVY COUNTY,True,True,9,True,True,True,9,2024
12077,FL,Liberty County,LIBERTY COUNTY BOARD OF COUNTY COMMISSIONERS,True,False,8,False,True,False,8,2024
12079,FL,,"MADISON COUNTY, FLORIDA",True,False,5,False,True,False,5,2024
12081,FL,Manatee County,"Manatee County, Florida",True,True,10,True,True,True,10,2025
12083,FL,Marion County,Marion County Board of County Commissioners,True,True,10,True,True,True,10,2025
12085,FL,Martin County,Martin County Board of County Commissioners,True,True,10,True,True,True,10,2025
12087,FL,Monroe County,"Monroe County, Florida",True,True,10,True,True,True,10,2025
12089,FL,,"NASSAU COUNTY, FL",True,False,7,False,True,False,7,2024
12091,FL,Okaloosa County,"OKALOOSA COUNTY, FLORIDA",True,True,8,False,True,True,8,2024
12093,FL,Okeechobee County,"Okeechobee County, FL",True,False,8,False,True,False,8,2024
12095,FL,Orange County,"ORANGE COUNTY, FLORIDA",True,False,5,False,True,False,5,2025
12097,FL,,Osceola County Board of County Commissioners,True,True,10,True,True,True,10,2025
12099,FL,Palm Beach County,Palm Beach County Board of County Commissioners,True,False,1,False,True,False,1,2024
12103,FL,Pinellas County,"Pinellas County, Florida",True,True,10,True,True,True,10,2025
12105,FL,Polk County,"Polk County, Florida Board of County Commissioners",True,True,9,True,True,True,9,2024
12107,FL,Putnam County,PUTNAM COUNTY,True,True,10,True,True,True,10,2025
12109,FL,St. Johns County,"County of St. Johns, Florida",True,True,9,True,True,True,9,2024
12111,FL,St. Lucie County,ST LUCIE COUNTY,True,True,10,True,True,True,10,2025
12113,FL,Santa Rosa County,"Santa Rosa County, Florida",True,True,10,True,True,True,10,2025
12115,FL,Sarasota County,"SARASOTA COUNTY, FLORIDA",True,True,10,True,True,True,10,2025
12117,FL,Seminole County,"Seminole County, Florida",True,True,10,True,True,True,10,2025
12119,FL,Sumter County,"Sumter County, Florida",True,False,8,False,True,False,8,2023
12121,FL,Suwannee County,Suwannee County,True,False,7,False,True,False,6,2024
12123,FL,Taylor County,Taylor County Florida,True,True,8,False,True,True,8,2024
12125,FL,Union County,Union County Board of County Commissioners,True,False,5,False,True,False,5,2024
12127,FL,Volusia County,COUNTY OF VOLUSIA,True,True,9,True,True,True,9,2024
12129,FL,Wakulla County,County of Wakulla Board of County Commissioners,True,True,10,True,True,True,10,2025
12131,NC,Walton County,"Walton County, Florida",True,True,9,True,True,True,9,2024
12133,FL,Miami-Dade County,MIAMI DADE COUNTY,True,True,9,True,True,True,9,2024
13001,GA,Appling County,"Appling County, Georgia",True,False,1,False,True,False,1,2020
13005,GA,BACON,"BACON COUNTY, GEORGIA",True,False,1,False,True,False,1,2019
13007,GA,,"Baker County, Georgia",True,True,10,True,True,True,10,2025
13009,GA,Baldwin County,"Baldwin County, Georgia",True,False,8,False,True,False,8,2023
13011,GA,Banks County,"Banks County, Georgia",True,False,2,False,True,False,2,2024
13013,GA,Barrow County,Barrow County Board of Commissioners,True,True,10,True,True,True,10,2025
13015,GA,Bartow County,"BARTOW COUNTY, GEORGIA",True,True,9,True,True,True,9,2024
13017,GA,,"Ben Hill County, GA",True,False,7,False,True,False,7,2024
13019,GA,Berrien County,"Berrien County, GA",True,True,8,False,True,True,8,2024
13021,GA,Bibb County,MACON-BIBB COUNTY,True,True,9,True,True,True,9,2024
13023,GA,,"Bleckley County, Georgia",True,False,8,False,True,False,8,2023
13025,GA,Brantley County,"Brantley County, Georgia",True,False,1,False,True,False,1,2022
13027,GA,BROOKS,"BROOKS COUNTY, GEORGIA",True,False,1,False,True,False,1,2021
13029,GA,Bryan County,"Bryan County, GA",True,True,8,False,True,True,8,2024
13031,GA,Bulloch County,"Bulloch County, Georgia",True,True,10,True,True,True,10,2025
13037,GA,,"Calhoun County, Georgia",True,False,6,False,True,False,6,2021
13039,GA,Camden County,"Camden County, Georgia",True,True,10,True,True,True,10,2025
13043,GA,,"Candler County, Georgia",True,False,5,False,True,False,5,2023
13045,GA,Carroll County,"CARROLL COUNTY, GEORGIA",True,True,10,True,True,True,10,2025
13047,GA,Catoosa County,"Catoosa County, Georgia",True,True,10,True,True,True,10,2025
13049,GA,Charlton County,Charlton County,True,False,3,False,True,False,3,2024
13053,GA,,"Unified Government of Cusseta - Chattahoochee County, Georgia",True,False,1,False,True,False,1,2022
13055,GA,Chattooga County,"Chattooga County, Georgia",True,False,2,False,True,False,1,2022
13059,GA,Clarke County,"Athens-Clarke County, Georgia",True,True,10,True,True,True,10,2025
13063,GA,Clayton County,Clayton County Board of Commissioners,True,True,10,True,True,True,10,2025
13065,GA,Clinch County,"Clinch County, Georgia",True,False,2,False,True,False,2,2024
13067,GA,Cobb County,COUNTY OF COBB,True,True,9,True,True,True,9,2024
13069,GA,Coffee County,"Coffee County, Georgia",True,False,3,False,True,False,3,2024
13071,GA,Colquitt County,"COLQUITT COUNTY, GEORGIA",True,True,9,True,True,True,9,2025
13073,GA,Columbia County,"Columbia County, Georgia",True,True,10,True,True,True,10,2025
13075,GA,Cook County,"Cook County, GA",True,True,8,False,True,True,8,2024
13077,GA,Coweta County,"Coweta County, Georgia",True,True,10,True,True,True,10,2025
13079,GA,Crawford County,"Crawford County, Georgia",True,True,9,True,True,True,9,2024
13081,GA,Crisp County,"Crisp County, Georgia",True,True,10,True,True,True,10,2025
13083,GA,Dade County,"Dade County, Georgia",True,True,9,True,True,True,9,2025
13085,GA,Dawson County,"Dawson County, Georgia",True,True,9,True,True,True,9,2024
13089,GA,DeKalb County,"DeKalb County, GA",True,False,8,False,True,False,8,2024
13091,GA,Dodge County,"Dodge County, Georgia",True,False,5,False,True,False,5,2024
13093,GA,DOOLY,"DOOLY COUNTY, GEORGIA",True,False,7,False,True,False,7,2022
13095,GA,Dougherty County,"DOUGHERTY COUNTY, GEORGIA",True,True,9,True,True,True,9,2024
13099,GA,,"Early County, Georgia",True,False,5,False,True,False,5,2024
13101,GA,,"Echols County, Georgia",True,False,1,False,True,False,1,2021
13103,GA,Effingham County,"Effingham County, Ga",True,True,9,True,True,True,9,2025
13105,GA,Elbert County,"Elbert County, Georgia",True,False,4,False,True,False,4,2024
13109,GA,,"Evans County, Georgia",True,False,8,False,True,False,8,2025
13111,GA,Fannin County,"FANNIN COUNTY, GEORGIA",True,False,7,False,True,False,7,2025
13113,GA,Fayette County,"Fayette County, Georgia",True,True,10,True,True,True,10,2025
13115,GA,Floyd County,"Floyd County, Georgia",True,False,5,False,True,False,5,2024
13117,GA,Forsyth County,"Forsyth County, Georgia",True,True,9,True,True,True,9,2024
13119,GA,Franklin County,"Franklin County, Georgia",True,False,6,False,True,False,6,2025
13121,GA,Fulton County,Fulton County Government,True,False,8,False,True,False,8,2023
13123,GA,Gilmer County,"Gilmer County, Georgia",True,True,9,True,True,True,9,2024
13125,GA,Glascock County,"Glascock County, Georgia",True,False,1,False,True,False,1,2024
13127,GA,Glynn County,"Glynn County, Georgia",True,True,9,True,True,True,9,2024
13129,GA,,"GORDON COUNTY, GEORGIA",True,False,9,True,True,False,9,2025
13131,GA,Grady County,"Grady County, Georgia",True,True,9,True,True,True,9,2024
13133,GA,GREENE,"Greene County, Georgia",True,True,3,False,True,True,3,2024
13137,GA,Habersham County,"Habersham County, Georgia",True,True,9,True,True,True,9,2024
13139,GA,,"Hall County, Georgia",True,True,9,True,True,True,9,2025
13141,GA,,"Hancock County, Georgia",True,True,8,False,True,True,8,2024
13143,GA,Haralson County,"Haralson County, Georgia",True,False,2,False,True,False,2,2023
13145,GA,Harris County,Harris County,True,True,10,True,True,True,10,2025
13147,GA,Hart County,"HART COUNTY, GEORGIA",True,False,3,False,True,False,3,2023
13149,GA,,"Heard County, Georgia",True,False,3,False,True,False,3,2024
13151,GA,Henry County,Henry County Georgia,True,True,9,True,True,True,9,2024
13153,GA,Houston County,Houston County Board of Commissioners,True,True,10,True,True,True,10,2025
13155,GA,,"Irwin County, Georgia",True,False,6,False,True,False,6,2021
13157,GA,Jackson County,Jackson County Georgia,True,True,9,True,True,True,9,2024
13159,GA,Jasper County,"Jasper County, Georgia",True,False,7,False,True,False,7,2025
13161,GA,,"Jeff Davis County, Georgia",True,False,8,False,True,False,8,2023
13163,GA,Jefferson County,"JEFFERSON COUNTY, GEORGIA",True,False,4,False,True,False,4,2024
13165,GA,,Jenkins County Commissioners,True,False,5,False,True,False,5,2022
13169,GA,JONES,"Jones County, Georgia",True,True,10,True,True,True,10,2025
13171,GA,Lamar County,LAMAR COUNTY GEORGIA,True,False,7,False,True,False,7,2023
13173,GA,Lanier County,"Lanier County, Georgia",True,False,6,False,True,False,6,2024
13175,GA,,Laurens County,True,True,9,True,True,True,9,2024
13177,GA,Lee County,"Lee County, Georgia",True,True,10,True,True,True,10,2025
13179,GA,Liberty County,"Liberty County, Ga",True,True,10,True,True,True,10,2025
13181,GA,Lincoln County,"LINCOLN COUNTY, GEORGIA",True,True,10,True,True,True,10,2025
13183,GA,Long County,"Long County, Georgia",True,False,8,False,True,False,8,2023
13185,GA,Lowndes County,"Lowndes County, Georgia",True,True,8,False,True,True,8,2024
13187,GA,Lumpkin County,"Lumpkin County, Georgia",True,True,9,True,True,True,9,2024
13191,GA,McIntosh County,McIntosh County,True,True,9,True,True,True,9,2024
13193,GA,,"Macon County, Georgia",True,True,9,True,True,True,9,2025
13195,GA,Madison County,"Madison County, Georgia",True,False,7,False,True,False,7,2022
13199,GA,,"Meriwether County, Georgia",True,False,4,False,True,False,4,2022
13201,GA,,"Miller County, Georgia",True,False,1,False,True,False,1,2017
13205,GA,Mitchell County,"Mitchell County, Ga",True,True,8,False,True,True,8,2024
13207,GA,Monroe County,"Monroe County, Georgia",True,True,9,True,True,True,9,2024
13209,GA,Montgomery County,"Montgomery County, Georgia",True,False,4,False,True,False,4,2023
