pid,provider
10352112,LG Uplus Corp.
10362517,"Amazon.com, Inc."
10362524,Microsoft Corporation
10128610,Mapletree Industrial Trust
10362355,Microsoft Corporation
10362354,Microsoft Corporation
10362353,Microsoft Corporation
10362352,Microsoft Corporation
10340177,LifeGrid Internet
10352381,Macquarie Telecom Pty Ltd.
10362360,Microsoft Corporation
10349274,Epsilon Telecommunications (Sp) Pte Ltd.
10338810,ZFB Group
10362359,Microsoft Corporation
10362351,Microsoft Corporation
10349833,Your DC Pty Ltd
10362358,Microsoft Corporation
10366674,
10362357,Microsoft Corporation
10362356,Microsoft Corporation
10352127,EdgeConneX
10340181,"Global Access Point, LLC"
10339620,Tencent Holdings Limited
10319891,"Service Express, LLC"
10320036,"China United Network Communications Group Co., Ltd."
10349832,Vocus Group Limited
10346470,New Altice Europe B.V.
10362345,"Meta Platforms, Inc."
10362344,"Meta Platforms, Inc."
10340168,"Intelligent Fiber Network, LLC"
10362343,"Meta Platforms, Inc."
10362346,"Meta Platforms, Inc."
10349830,Vocus Group Limited
10352380,CDC Data Centres Pty Ltd
10352379,
10317759,"Xiandai Investment Co.,Ltd"
10317795,"Zte Cloud Servie Co., Ltd."
10366675,Atlas Development LLC
10366676,Atlas Development LLC
10340175,"Bluelock, LLC"
10340172,"US Signal Company, LLC"
10362350,Microsoft Corporation
10352128,PT. Supra Primatama Nusantara
10185459,"Equinix, Inc."
10339622,Tencent Holdings Limited
10338806,GlobeNet
10362349,"Meta Platforms, Inc."
10247473,Ascenty Data Centers e TelecomunicaÃ§Ãµes S.A.
10343541,Telepoint Ltd.
10339624,Tencent Holdings Limited
10343321,Tunisie TÃ©lÃ©com S.A.
10362348,"Meta Platforms, Inc."
10362347,"Meta Platforms, Inc."
10349831,Vocus Group Limited
10349280,Epsilon Telecommunications (Sp) Pte Ltd.
10362342,"Meta Platforms, Inc."
10346469,New Altice Europe B.V.
10362376,Microsoft Corporation
10362375,Microsoft Corporation
10317740,New Altice Europe B.V.
10362374,Microsoft Corporation
10362373,Microsoft Corporation
10247652,Redcentric Communications Limited
10319885,"Equinix, Inc."
10362372,Microsoft Corporation
10362377,Novva Data Centers
10340198,"Nexcess.Net, LLC"
10362382,NTT Global Data Centers Preparatory Corporation
10317723,"Shenzhen Powerleader Technology Co., Ltd."
10352124,"Equinix, Inc."
10317373,"VNET Group, Inc."
10339609,"Baidu, Inc."
10366670,"Stream Data Centers, L.P."
10362380,Novva Data Centers
10362379,Novva Data Centers
10362378,Novva Data Centers
10142320,Vocus Group Limited
10362381,Novva Data Centers
10340193,"Nexcess.Net, LLC"
10349271,Epsilon Telecommunications (Sp) Pte Ltd.
10343957,Isim Kayit
10346468,New Altice Europe B.V.
10339617,Tencent Holdings Limited
10362365,Microsoft Corporation
10343942,GlassHouse Bilgi Sistemleri Ticaret Anonim Sirketi
10343326,Tunisie TÃ©lÃ©com S.A.
10362364,Microsoft Corporation
10343323,Tunisie TÃ©lÃ©com S.A.
10349834,Your DC Pty Ltd
10362363,Microsoft Corporation
10362362,Microsoft Corporation
10366673,East Village Dothan LLC
10317768,Towngas Smart Energy Company Limited
10362361,Microsoft Corporation
10317792,Weiyong
10340186,Baseline
10167236,"Sungard Availability Services Capital, Inc."
10349265,Vocus Group Limited
10339613,"Baidu, Inc."
10340187,"123.Net, LLC."
10352384,CDC Data Centres Pty Ltd
10338960,ManagedWay
10167311,"VNET Group, Inc."
10362371,Microsoft Corporation
10362370,Microsoft Corporation
10346466,New Altice Europe B.V.
10346467,New Altice Europe B.V.
10352125,PT DCI Indonesia Tbk
10362369,Microsoft Corporation
10317368,"Shanghai Data Solution Co., Ltd."
10349835,ZettaNet Pty Ltd
10362368,Microsoft Corporation
10352383,CDC Data Centres Pty Ltd
10352382,CDC Data Centres Pty Ltd
10362367,Microsoft Corporation
10317745,"Runxun Data Co., Ltd."
10338816,Internexa S.A.
10338813,Etix Everywhere France SAS
10366671,"Stream Data Centers, L.P."
10366672,"Stream Data Centers, L.P."
10362366,Microsoft Corporation
10259698,EdgeConneX
10343543,CloudRock 1 S.A.
10366791,"DataBank Holdings, Ltd."
10366792,"DataBank Holdings, Ltd."
10366793,"DataBank Holdings, Ltd."
10362318,"Edged Energy, LLC"
10366794,EdgeConneX
10366795,Energy Abundance Development Corporation
10352376,GreenSquareDC Pty Ltd
10362317,"Edged Energy, LLC"
10366790,"DataBank Holdings, Ltd."
10222399,NEXTDC Limited
10362322,Alphabet Inc.
10220074,"Equinix, Inc."
10338783,On Empresas S.A.C
10362321,Alphabet Inc.
10349823,TPG Telecom Limited
10366788,"Colovore, LLC"
10362320,Alphabet Inc.
10362319,Alphabet Inc.
10352132,STT Global Data Centres India Private Limited
10366789,"DataBank Holdings, Ltd."
10143484,Verizon Communications Inc.
10366796,Lancium LLC
10362309,"Eagle South, LLC"
10352375,CDC Data Centres Pty Ltd
10352475,"Amazon.com, Inc."
10366799,Microsoft Corporation
10362308,"Eagle South, LLC"
10362307,The Daly Group LLC
10343904,DorukNet.
10362306,Dbt-Data LLC
10352474,"Amazon.com, Inc."
10338779,On Empresas S.A.C
10183595,TPG Telecom Limited
10317803,China Telecom Corporation Limited
10362316,"Edged Energy, LLC"
10167348,NTT Global Data Centers Preparatory Corporation
10362315,EdgeConneX
10343553,Friktoria
10362314,EdgeConneX
10343314,"Amazon.com, Inc."
10346478,Ceske Radiokomunikace a.s.
10366797,Microsoft Corporation
10352517,"Equinix, Inc."
10352518,"Equinix, Inc."
10352133,STT Global Data Centres India Private Limited
10366798,Microsoft Corporation
10362312,"Eagle South, LLC"
10352134,SC Zeus Data Centers Pte Ltd
10362311,"Eagle South, LLC"
10362310,"Eagle South, LLC"
10349822,Tier 5
10362313,EdgeConneX
10343319,EO Datacenter
10362336,"Karis Critical, LLC"
10339627,Tencent Holdings Limited
10320034,China Telecom Corporation Limited
10320031,"Shanghai Yovole Networks Co., Ltd."
10362335,"Karis Critical, LLC"
10340158,"Lifeline Data Centers, LLC"
10362334,"Karis Critical, LLC"
10362333,"Karis Critical, LLC"
10339628,Tencent Holdings Limited
10352131,ChinData Group
10338796,GTD Grupo Teleductos S.A.
10338801,EdgeUno
10352129,GDS Holdings Limited
10352130,Gaw Capital Partners
10343933,FiberDC Teknoloji
10362341,"Meta Platforms, Inc."
10366677,Atlas Development LLC
10349829,Vocus Group Limited
10349828,Vocus Group Limited
10343545,FIBERLOC IKE
10340164,"Intelligent Fiber Network, LLC"
10362340,"Rackhouse Group, LLC"
10362332,"Karis Critical, LLC"
10340161,"The Brookfield Group, LLC"
10239472,NEXTDC Limited
10259748,NEXTDC Limited
10346473,ANEXIA Internetdienstleistungs GmbH
10317797,"Zte Cloud Servie Co., Ltd."
10362339,"Leola Datacenter, LLC"
10362338,"Karis Critical, LLC"
10366678,Project West WHP - GA LLC
10362337,"Karis Critical, LLC"
10101903,"Equinix, Inc."
10343317,Unipack Sa
10247454,KDDI Corporation
10366679, RSC Investment Management LLC
10183409,"Equinix, Inc."
10184581,"DataBank Holdings, Ltd."
10339630,Tencent Holdings Limited
10363582,"Green Door Capital, LLC"
10346476,"Ar Telecom - Acessos e Redes de Telecomunicacoes, S.A."
10343547,Forthnet Media Holdings S.A.
10343549,Forthnet Media Holdings S.A.
10362325,Alphabet Inc.
10346477,"Ar Telecom - Acessos e Redes de Telecomunicacoes, S.A."
10339633,Tencent Holdings Limited
10338785,On Empresas S.A.C
10352377,
10349824,Velocity Servers
10362324,Alphabet Inc.
10366682,Sailfish Investors Acquisitions LLC
10362323,Alphabet Inc.
10343308,Borealis Data Center ehf.
10343914,Earth Telecom
10343924,EdgeUno
10340150,"DataBank Holdings, Ltd."
10362326,"Iron Mountain Data Centers, LLC"
10183462,"Equinix, Inc."
10259608,"Netrality Property Trust, LLC"
10349297,"Equinix, Inc."
10362331,"Karis Critical, LLC"
10346474,"Ar Telecom - Acessos e Redes de Telecomunicacoes, S.A."
10349827,Vocus Group Limited
10317799,"Zte Cloud Servie Co., Ltd."
10317801,"Beijing Sinnet Technology Co.,Ltd"
10362330,"Karis Critical, LLC"
10343313,Borealis Data Center ehf.
10338791,"Wellesley Investment Partners, LLC"
10239473,NEXTDC Limited
10219153,NEXTDC Limited
10362329,"Karis Critical, LLC"
10362328,"Karis Critical, LLC"
10349826,New Era Technology - SE Pty Ltd
10349825,Verizon Communications Inc.
10346475,"Ar Telecom - Acessos e Redes de Telecomunicacoes, S.A."
10366680,William Darryl Edwards Living Trust
10366681,"TPA Group, LLC"
10362327,"Iron Mountain Data Centers, LLC"
10340153,"Lifeline Data Centers, LLC"
10338793,NOCPERU
10362383,NTT Global Data Centers Preparatory Corporation
10317374,"VNET Group, Inc."
10362439,TA Realty LLC
10362438,TA Realty LLC
10362437,"T5 Data Centers, LLC"
10352464,Alphabet Inc.
10362436,"T5 Data Centers, LLC"
10352465,Microsoft Corporation
10366657,"Switch, Inc."
10362435,"T5 Data Centers, LLC"
10362968,Novva Data Centers
10317398,China Mobile Limited
10362445,Tract
10362444,Tract
10362965,"Meta Platforms, Inc."
10362443,Tract
10349203,Uk Dedicated Servers Limited
10362967,Novva Data Centers
10362441,TA Realty LLC
10362440,TA Realty LLC
10317401,China Mobile Limited
10362442,"Thor Equities, LLC"
10362446,Tract
10352118,"LOTTE INNOVATE Co.,Ltd"
10338838,Claro Corp.
10362427,"T5 Data Centers, LLC"
10362426,"Stream Data Centers, L.P."
10362425,"Stream Data Centers, L.P."
10362424,"Stream Data Centers, L.P."
10349209,Uk Dedicated Servers Limited
10366659,"Core Scientific, Inc."
10362428,"T5 Data Centers, LLC"
10362434,"T5 Data Centers, LLC"
10187099,"Ascent, LLC"
10317779,GDS Holdings Limited
10362433,"T5 Data Centers, LLC"
10317782,GDS Holdings Limited
10189794,"Equinix, Inc."
10362432,"T5 Data Centers, LLC"
10177873,"Digital Realty Trust, Inc."
10352466,Microsoft Corporation
10352467,Microsoft Corporation
10362431,"T5 Data Centers, LLC"
10317392,China Mobile Limited
10352468,Microsoft Corporation
10352393,Spark New Zealand Limited
10362430,"T5 Data Centers, LLC"
10352392,Datacentre220 Limited
10362429,"T5 Data Centers, LLC"
10259863,"T5 Data Centers, LLC"
10320052,China Aviation Cloud
10366658,"Core Scientific, Inc."
10317395,China Mobile Limited
10362423,"STACK Infrastructure, Inc."
10362964,"Meta Platforms, Inc."
10317367,Webaxys
10362464,Tract
10362463,"Millenium Power Partners, LLC"
10320057,"Shanghai @hub Co.,Ltd."
10338846,Internexa S.A.
10352397,CDC Data Centres Pty Ltd
10362462,"Stream Data Centers, L.P."
10362461,"Stream Data Centers, L.P."
10320055,China Aviation Cloud
10342086,C15Edge
10362950,"Soluna Holdings, Inc."
10352459,Microsoft Corporation
10349185,"Dataone Asia (Philippines), Inc."
10349189,"Dataone Asia (Philippines), Inc."
10317421,China Telecom Corporation Limited
10362470,"AVAIO Digital Management, LLC"
10362469,"AVAIO Digital Management, LLC"
10342089,ColoGlobal
10362468,"DataBank Holdings, Ltd."
10362467,"DataBank Holdings, Ltd."
10317418,China Telecom Corporation Limited
10317414,China Telecom Corporation Limited
10317417,"Digital Realty Trust, Inc."
10319978,Harlow Operations Ltd.
10317769,"China United Network Communications Group Co., Ltd."
10362945,Skychain Technologies Inc.
10362949,"Soluna Holdings, Inc."
10320063,China Telecom Corporation Limited
10320060,"Shanghai @hub Co.,Ltd."
10249983,"Equinix, Inc."
10352458,"Amazon.com, Inc."
10362465,Microsoft Corporation
10362466,CyrusOne Inc.
10317771,"Guangzhou Boda Data Technology Co., Ltd."
10352460,Microsoft Corporation
10317372,CRT Informatique
10317403,China Telecom Corporation Limited
10352116,"SK Broadband Co., Ltd."
10362450,"Vantage Data Centers Management Company, LLC"
10362960,"Meta Platforms, Inc."
10352117,"LOTTE INNOVATE Co.,Ltd"
10338844,EdgeUno
10338841,EdgeUno
10362449,Tract
10343345,Orange Maroc
10362961,"Meta Platforms, Inc."
10343343,"Wana Corporate, SA"
10349199,Uk Dedicated Servers Limited
10362962,"Meta Platforms, Inc."
10362448,Tract
10362963,"Meta Platforms, Inc."
10362447,Tract
10352394,Data Vault
10317775,GDS Holdings Limited
10317369,Etix Everywhere France SAS
10352463,Microsoft Corporation
10362460,"Stream Data Centers, L.P."
10352396,CDC Data Centres Pty Ltd
10362457,"Vantage Data Centers Management Company, LLC"
10352461,Microsoft Corporation
10352395,Chorus Limited
10362456,"Vantage Data Centers Management Company, LLC"
10346054,NetFactor Telekomunikasyon A.S.
10362455,"Vantage Data Centers Management Company, LLC"
10344016,Netdirekt
10317773,"Shenzhen Esin Technology Inc.,Ltd."
10349191,"Dataone Asia (Philippines), Inc."
10362454,"Vantage Data Centers Management Company, LLC"
10317410,China Telecom Corporation Limited
10317407,China Telecom Corporation Limited
10362957,"Zafra, LLC"
10362453,"Vantage Data Centers Management Company, LLC"
10352462,Microsoft Corporation
10362958,"Meta Platforms, Inc."
10362959,"Meta Platforms, Inc."
10362452,"Vantage Data Centers Management Company, LLC"
10362451,"Vantage Data Centers Management Company, LLC"
10349195,"Datapipe, Inc."
10342081,"CIM Group, L.P."
10344005,Mitues
10362399,PowerHouse Data Centers
10362398,PowerHouse Data Centers
10317388,ThÃ©sÃ©e DataCenter SAS
10362397,PowerHouse Data Centers
10362396,PowerHouse Data Centers
10362400,PowerHouse Data Centers
10366666,"Stream Data Centers, L.P."
10343333,Medafrica Systems
10247596,"Vantage Data Centers Management Company, LLC"
10342060,"Cologix, Inc."
10362405,PowerHouse Data Centers
10362404,PowerHouse Data Centers
10340213,"Equinix, Inc."
10362403,PowerHouse Data Centers
10349240,DTS Limited
10352387,Acsdata
10320042,China Mobile Limited
10352471,Microsoft Corporation
10362401,PowerHouse Data Centers
10317384,"CEIcloud Data Storage Technology (Beijing) Co., Ltd."
10362402,PowerHouse Data Centers
10366665,"Stream Data Centers, L.P."
10338822,GTD Grupo Teleductos S.A.
10362388,"CapRock Partners, LLC"
10338819,GlobeNet
10362387,"CapRock Partners, LLC"
10343331,N+ONE Solutions
10343329,N+ONE Solutions
10362386,"CapRock Partners, LLC"
10346464,"Afr-Ix Telecom, S.L."
10362385,"CapRock Partners, LLC"
10362384,"CapRock Partners, LLC"
10366669,"Stream Data Centers, L.P."
10185435,"Switch, Inc."
10142324,Vocus Group Limited
10319876,China Mobile Limited
10181549,"Switch, Inc."
10317376,"VNET Group, Inc."
10352123,Trifalga DC
10352122,Asia Digital Infrastructure Pte. Ltd.
10317703,"Shenzhen Powerleader Technology Co., Ltd."
10362389,"CapRock Partners, LLC"
10362395,PowerHouse Data Centers
10343970,ISTTELKOM INC.
10317382,"Beijing Gehua Catv Network Co.,Ltd."
10317379,W-Infinity Communications Limited
10362394,PowerHouse Data Centers
10317664,"Shenzhen Powerleader Technology Co., Ltd."
10343537,Gulf Data Hub
10319873,Datanet Group (Uk) Ltd
10362393,"CapRock Partners, LLC"
10340209,"Rackhouse Group, LLC"
10346462,"Adam Ecotech, S.A."
10362392,"CapRock Partners, LLC"
10362391,"CapRock Partners, LLC"
10349245,DTS Limited
10349252,Dyxnet Corporate Service Limited
10352386,DXN Limited
10352385,Colocity Pty Ltd
10362390,"CapRock Partners, LLC"
10366667,"Stream Data Centers, L.P."
10366668,"Stream Data Centers, L.P."
10352472,Microsoft Corporation
10352473,Microsoft Corporation
10317681,"Shenzhen Powerleader Technology Co., Ltd."
10340205,Symmetry Corporation
10317387,"China United Network Communications Group Co., Ltd."
10338825,"Equinix, Inc."
10362418,"QTS Realty Trust, LLC"
10320049,China Mobile Limited
10362417,"QTS Realty Trust, LLC"
10185093,"Cologix, Inc."
10362416,"QTS Realty Trust, LLC"
10317380,Webaxys
10362415,"QTS Realty Trust, LLC"
10362419,"QTS Realty Trust, LLC"
10338835,Claro Corp.
10343340,"Wana Corporate, SA"
10025954,"Digital Realty Trust, Inc."
10033277,"Digital Realty Trust, Inc."
10339600,Tencent Holdings Limited
10319980,
10317391,China Mobile Limited
10366660,"Amazon.com, Inc."
10366661,"STACK Infrastructure, Inc."
10352391,T4 Group Limited
10317784,GDS Holdings Limited
10342077,TNW Networks Corp.
10186850,eStruxture Data Centers Inc.
10340741,"Atlantic Metro Communications, Inc."
10362981,Splashwire Inc.
10317390,China Mobile Limited
10317365,China Communication Group Ltd.
10339603,Tencent Holdings Limited
10362421,"SNA Cleveland, LLC"
10362420,"SNA Cleveland, LLC"
10317377,Dtix
10352119,"LOTTE INNOVATE Co.,Ltd"
10317786,"Hongda High-Tech Holding Co.,Ltd."
10366662,"STACK Infrastructure, Inc."
10352390,Spark New Zealand Limited
10218997,"Equinix, Inc."
10366632,Le Groupe Sigma
10317386,Titan Datacenters France SAS
10342063,"Cologix, Inc."
10024323,"Digital Realty Trust, Inc."
10346459,"acens Technologies, S.L.U."
10181603,EdgeConneX
10362408,Prometheus Hyperscale
10343978,Kkb Kredi Kayit Burosu Anonim Sirketi
10320047,China Mobile Limited
10320044,China Mobile Limited
10352470,Microsoft Corporation
10317794,"Shenzhen Powerleader Technology Co., Ltd."
10362407,
10362406,PowerHouse Data Centers
10366664,"Stream Data Centers, L.P."
10317389,CERNET Corporation
10247655,Evoque
10342093,Cover-All Alberta Ltd.
10346458,"acens Technologies, S.L.U."
10362409,"Provident Realty Advisors, Inc."
10366663,"Burr Computer Environments, Inc."
10352120,"LOTTE INNOVATE Co.,Ltd"
10339605,Tencent Holdings Limited
10362414,"QTS Realty Trust, LLC"
10352469,Microsoft Corporation
10352121,"SK Broadband Co., Ltd."
10343338,"Wana Corporate, SA"
10343335,"Wana Corporate, SA"
10362413,"Province Realty Group, Inc."
10317788,"Li Cheng Enterprise Co., Ltd."
10014545,"Digital Realty Trust, Inc."
10352388,ED Services Limited
10044830,"Digital Realty Trust, Inc."
10338831,Internexa S.A.
10343994,Marka Ltd.
10247488,Ascenty Data Centers e TelecomunicaÃ§Ãµes S.A.
10362412,"Province Realty Group, Inc."
10317342,CLP Holdings Limited
10317323,CERNET Corporation
10343983,KoÃ§Sistem
10362411,"Province Realty Group, Inc."
10342069,"Vantage Data Centers Management Company, LLC"
10231248,"Equinix, Inc."
10352389,ADC - Advanced Data Centres
10362410,"Province Realty Group, Inc."
10317791,"Shenzhen Powerleader Technology Co., Ltd."
10362532,"Amazon.com, Inc."
10339155,"Amazon.com, Inc."
10339389,Tencent Holdings Limited
10362661,Bitfarms Ltd.
10340372,"EdgeCore Internet Real Estate, LLC"
10346572,Mapletree Industrial Trust
10362797,Foundry Digital LLC
10339146,Microsoft Corporation
10339151,Microsoft Corporation
10317615,"Kehua Data Co., Ltd."
10340430,China Mobile Limited
10339508,Alibaba Group Holding Limited
10339164,Microsoft Corporation
10187054,AIMS Data Centre Sdn Bhd
10343510,Nano.lv
10362662,Blockware Solutions LLC
10340351,"EdgeCore Internet Real Estate, LLC"
10340329,"EdgeCore Internet Real Estate, LLC"
10362796,Dataprana Inc.
10339157,"Amazon.com, Inc."
10317618,"Kehua Data Co., Ltd."
10339392,Tencent Holdings Limited
10339160,"Amazon.com, Inc."
10320296,"Shanghai @hub Co.,Ltd."
10362663,Discover AI LLC
10362664,Future FinTech Group Inc.
10339510,Alibaba Group Holding Limited
10346376,Rivne Region Internet Association
10317699,"Daily-Tech Beijing Co., Ltd."
10362800,GeoBitmine LLC
10129179,"Digital Realty Trust, Inc."
10362656,Aspen Creek Digital Corporation
10358806,"Iron Mountain Data Centers, LLC"
10317605,"China United Network Communications Group Co., Ltd."
10339384,"Baidu, Inc."
10187056,AIMS Data Centre Sdn Bhd
10320154,"Shanghai @hub Co.,Ltd."
10362660,Atlas Power Group LLC
10317608,"China United Network Communications Group Co., Ltd."
10317611,"China United Network Communications Group Co., Ltd."
10340401,"EdgeCore Internet Real Estate, LLC"
10232415,Alphabet Inc.
10343512,Telia Company AB (publ)
10343423,Bhumishq Technologies
10343427,Trans-Sahara (HB Group)
10167507,Alphabet Inc.
10339142,"Amazon.com, Inc."
10187057,AIMS Data Centre Sdn Bhd
10340423,CyrusOne Inc.
10342095,AIMS Data Centre Sdn Bhd
10174834,CoreSite Realty Corporation
10339386,"Baidu, Inc."
10362798,Foundry Digital LLC
10343513,InfonetDC
10339514,Alibaba Group Holding Limited
10339513,Alibaba Group Holding Limited
10340416,CyrusOne Inc.
10362658,Wattum
10362659,Galaxy Digital Holdings LP
10186493,"Equinix, Inc."
10186494,"Equinix, Inc."
10346398,WNET Global IP Network
10320299,"Shanghai @hub Co.,Ltd."
10340417,CyrusOne Inc.
10340420,CyrusOne Inc.
10362799,Foundry Digital LLC
10317698,"Daily-Tech Beijing Co., Ltd."
10362795,"Compass Mining, Inc."
10259389,Alphabet Inc.
10362673,Lonestar Dream Inc.
10175182,CyrusOne Inc.
10317632,Etrunk Technologies Inc
10320164,
10320165,
10340451,"EdgeCore Internet Real Estate, LLC"
10125354,"Equinix, Inc."
10320285,"Longrui Industry (Hainan) Co., Ltd"
10362674,Applied Digital Corporation
10343501,Baltcom
10362791,"Compass Mining, Inc."
10346435,JSC Ucomline
10339180,"Amazon.com, Inc."
10362677,Cipher Digital Inc.
10133843,"Equinix, Inc."
10320169,
10317693,"China United Network Communications Group Co., Ltd."
10219289,CyrusOne Inc.
10133729,CoreSite Realty Corporation
10339410,"Baidu, Inc."
10317635,Fujitsu Limited
10317637,GDS Holdings Limited
10352510,"VNET Group, Inc."
10339413,"Baidu, Inc."
10362675,"Compass Mining, Inc."
10362676,Cipher Digital Inc.
10320302,"Shanghai @hub Co.,Ltd."
10362672,Genesis Digital Assets Limited
10346414,Datagroup JSC
10317697,"Daily-Tech Beijing Co., Ltd."
10346427,"LLC ""NetAssist"""
10343506,VERSIJA
10339506,Alibaba Group Holding Limited
10187055,AIMS Data Centre Sdn Bhd
10320294,China Mobile Limited
10343429,Madagascar Global Internet eXchange
10340437,"Digital Realty Trust, Inc."
10168460,CyrusOne Inc.
10362665,Genesis Digital Assets Limited
10340310,"Digital Realty Trust, Inc."
10339170,"Amazon.com, Inc."
10339395,Tencent Holdings Limited
10317621,"Daily-Tech Beijing Co., Ltd."
10320157,China Mobile Limited
10362666,IREN Limited
10320160,China Mobile Limited
10362667,Lonestar Dream Inc.
10250942,"Digital Realty Trust, Inc."
10180517,"Digital Realty Trust, Inc."
10362794,"Compass Mining, Inc."
10317624,"Guangzhou Boda Data Technology Co., Ltd."
10352511,"VNET Group, Inc."
10223187,"Daily-Tech Beijing Co., Ltd."
10340293,"Digital Realty Trust, Inc."
10317695,"China United Network Communications Group Co., Ltd."
10339407,Tencent Holdings Limited
10343504,Retn GmbH
10343503,Santa Monica Networks SIA
10340447,"EdgeCore Internet Real Estate, LLC"
10343431,Skyband Corporation
10343433,Skyband Corporation
10339500,Alibaba Group Holding Limited
10362670,"CleanSpark, Inc."
10362792,"Compass Mining, Inc."
10340127,AGS Corporation
10340263,"Digital Realty Trust, Inc."
10317629,Efly S.R.O.
10320290,"Longrui Industry (Hainan) Co., Ltd"
10362793,"Compass Mining, Inc."
10320287,"Longrui Industry (Hainan) Co., Ltd"
10339502,Alibaba Group Holding Limited
10346322,Global Technology of Ukraine
10346286,SerinIX Inc.
10340441,"EdgeCore Internet Real Estate, LLC"
10339400,Alibaba Group Holding Limited
10362668,Arsenal Digital Mining LLC
10362669,"MARA Holdings, Inc."
10339174,"Amazon.com, Inc."
10317626,"Guangzhou Boda Data Technology Co., Ltd."
10339177,"Amazon.com, Inc."
10340445,"EdgeCore Internet Real Estate, LLC"
10339403,Alibaba Group Holding Limited
10340388,"EdgeCore Internet Real Estate, LLC"
10346743,"Vantage Data Centers Management Company, LLC"
10362641,Digi Power X Inc.
10340545,"Vantage Data Centers Management Company, LLC"
10339363,"Baidu, Inc."
10317579,"China United Network Communications Group Co., Ltd."
10340385,EdgeConneX
10362638,"MARA Holdings, Inc."
10346941,
10339365,Alibaba Group Holding Limited
10340391,"Evocative, Inc."
10339109,CMET Telecomunicaciones SA
10339108,Ingenieria E Informatica Asociada Ltda.
10339103,Servicios InformÃ¡ticos Hostname SpA
10343532,
10362813,Pow.re Holdings Limited
10352080,CMC Telecommunication Infrastructure Corporation
10339098,Empresa Nacional de Telecomunicaciones S.A.
10339101,Mediaflog
10362642,Digi Power X Inc.
10362643,Lancium LLC
10340539,"Sentinel Data Centers, LLC"
10340537,GI Partners
10317581,"China United Network Communications Group Co., Ltd."
10339096,Empresa Nacional de Telecomunicaciones S.A.
10339528,Tencent Holdings Limited
10343411,Trinity Technologies
10320137,China Telecom Corporation Limited
10363610,"City of Texas city, Texas"
10362633,"CleanSpark, Inc."
