county_fips,cusip6,issuer
48325,631753,Medina Co (Natalia) ISD
04013,567133,Maricopa Co (Gila Bend) USD  #24
18127,736324,Porter Twp School Corp
18127,736328,Porter Twp School Corp
39063,530260,Hancock Co (Liberty-Benton) LSD
48275,082102,Knox Co (Benjamin) ISD
17037,240667,DeKalb Co (Genoa-Kingston) CUSD #424
17037,240676,DeKalb Co (Genoa-Kingston) CUSD #424
40097,578061,Mayes Co (Adair) ISD #2
48371,119295,Pecos Co (Buena Vista) ISD
39063,041740,Hancock Co (Arlington) LSD
40101,628099,Muskogee Co (Haskell) ISD #2
48441,983069,Taylor Co (Wylie) ISD
40101,628116,Muskogee (Warner) ISD #74
48139,599666,Ellis Co (Milford) ISD
48331,368068,Milam Co (Gause) ISD
48355,220148,Nueces Co (Corpus Christi) ISD
48355,008560,Nueces Co (Agua Dulce) ISD
48331,885239,Milam Co (Thorndale) ISD
48349,094275,Navarro Co (Blooming Grove) ISD
