fips,name,state,share,census17_M,has_v2_or_acfr_post,risk
39063,Hancock County,OH,5.7,11.87,False,MEDIUM/LOW (mid-large county)
39111,Monroe County,OH,21.0,2.67,False,"HIGH (tiny county, thin sampling)"
40101,Muskogee County,OK,23.5,6.91,False,HIGH (cash-basis/sample small plains)
41065,Wasco County,OR,22.7,11.85,False,MEDIUM/LOW (mid-large county)
41067,Washington County,OR,2.8,199.85,False,MEDIUM/LOW (mid-large county)
42079,Luzerne County,PA,2.1,117.0,False,MEDIUM/LOW (mid-large county)
42121,Venango County,PA,9.2,11.5,False,MEDIUM/LOW (mid-large county)
45083,Spartanburg County,SC,1.4,104.28,False,HIGH (sample-survey / bundling-prone South)
45087,Union County,SC,1.9,12.22,False,HIGH (sample-survey / bundling-prone South)
45091,York County,SC,1.0,97.44,False,HIGH (sample-survey / bundling-prone South)
46119,Sully County,SD,20.8,2.33,False,HIGH (cash-basis/sample small plains)
47013,Campbell County,TN,6.2,13.59,False,HIGH (sample-survey / bundling-prone South)
47025,Claiborne County,TN,7.3,13.73,False,HIGH (sample-survey / bundling-prone South)
47105,Loudon County,TN,2.7,27.84,False,HIGH (sample-survey / bundling-prone South)
47107,McMinn County,TN,5.0,10.99,False,HIGH (sample-survey / bundling-prone South)
47113,Madison County,TN,1.3,48.48,False,HIGH (sample-survey / bundling-prone South)
47125,Montgomery County,TN,4.0,114.85,False,HIGH (sample-survey / bundling-prone South)
47173,Union County,TN,9.6,4.74,False,HIGH (sample-survey / bundling-prone South)
48003,Andrews County,TX,2.9,25.71,False,MEDIUM/LOW (mid-large county)
48045,Briscoe County,TX,36.7,1.68,False,VERY-HIGH (small TX oil/mineral/wind)
48067,Cass County,TX,4.6,9.04,False,MEDIUM/LOW (mid-large county)
48103,Crane County,TX,73.8,9.02,False,MEDIUM/LOW (mid-large county)
48109,Culberson County,TX,17.3,3.27,False,VERY-HIGH (small TX oil/mineral/wind)
48173,Glasscock County,TX,37.6,0.31,False,VERY-HIGH (small TX oil/mineral/wind)
48221,Hood County,TX,16.8,22.77,False,MEDIUM/LOW (mid-large county)
48275,Knox County,TX,114.8,1.35,False,VERY-HIGH (small TX oil/mineral/wind)
48277,Lamar County,TX,1.5,11.81,False,MEDIUM/LOW (mid-large county)
48325,Medina County,TX,6.7,14.04,False,MEDIUM/LOW (mid-large county)
48331,Milam County,TX,156.8,13.41,False,MEDIUM/LOW (mid-large county)
48349,Navarro County,TX,24.9,20.55,False,MEDIUM/LOW (mid-large county)
48355,Nueces County,TX,3.4,108.95,False,MEDIUM/LOW (mid-large county)
48371,Pecos County,TX,47.2,19.87,False,MEDIUM/LOW (mid-large county)
48389,Reeves County,TX,3.8,14.63,False,MEDIUM/LOW (mid-large county)
48441,Taylor County,TX,6.1,39.31,False,MEDIUM/LOW (mid-large county)
48461,Upton County,TX,1.8,0.85,False,VERY-HIGH (small TX oil/mineral/wind)
48475,Ward County,TX,51.3,18.07,False,MEDIUM/LOW (mid-large county)
49035,Salt Lake County,UT,1.0,302.27,False,MEDIUM/LOW (mid-large county)
49049,Utah County,UT,1.9,46.73,False,MEDIUM/LOW (mid-large county)
51047,Culpeper County,VA,3.6,60.82,False,MEDIUM/LOW (mid-large county)
51061,Fauquier County,VA,1.2,136.7,False,MEDIUM/LOW (mid-large county)
51087,Henrico County,VA,3.9,402.03,False,MEDIUM/LOW (mid-large county)
51107,Loudoun County,VA,20.5,1134.53,False,MEDIUM/LOW (mid-large county)
51117,Mecklenburg County,VA,48.7,29.71,False,MEDIUM/LOW (mid-large county)
51193,Westmoreland County,VA,2.8,17.09,False,MEDIUM/LOW (mid-large county)
55101,Racine County,WI,1.6,51.97,False,MEDIUM/LOW (mid-large county)
56021,Laramie County,WY,14.2,27.28,False,MEDIUM/LOW (mid-large county)
