slug,fips,state,name,dc_share,pdf,pattern,rank,page,line
mecklenburg_va,51117,VA,Mecklenburg County,48.7,mecklenburg_county_va_acfr_2023.pdf,interest_expense,1,12,"Interest on long-term debt 3 ,825,482 4,079,271"
mecklenburg_va,51117,VA,Mecklenburg County,48.7,mecklenburg_county_va_acfr_2023.pdf,interest_expense,2,13,"Interest on long-term debt and fiscal charges 3 ,825,482 ( 3,825,482) 4 ,079,271 ( 4,079,271)"
mecklenburg_va,51117,VA,Mecklenburg County,48.7,mecklenburg_county_va_acfr_2023.pdf,interest_expense,3,19,"Interest on long-term debt and bond issuance costs 3 ,825,482 - - - ( 3,825,482)"
grant_wa,53025,WA,Grant County,36.1,grant_county_wa_acfr_2023.pdf,property_tax,1,36,Note 12 – Property Tax
grant_wa,53025,WA,Grant County,36.1,grant_county_wa_acfr_2023.pdf,property_tax,2,39,"0119 001 CURRENT EXPENSE 3111000 Property Tax $21,351,177"
grant_wa,53025,WA,Grant County,36.1,grant_county_wa_acfr_2023.pdf,property_tax,3,44,"0119 101 COUNTY ROADS 3111000 Property Tax $10,615,632"
grant_wa,53025,WA,Grant County,36.1,grant_county_wa_acfr_2023.pdf,total_revenue,1,2,"Total Revenues: 177,010,677 60,540,633 23,747,507 228,988"
grant_wa,53025,WA,Grant County,36.1,grant_county_wa_acfr_2023.pdf,total_revenue,2,3,"Total Revenues: 5,325 889 - 18,228,488"
grant_wa,53025,WA,Grant County,36.1,grant_county_wa_acfr_2023.pdf,total_revenue,3,4,"Total Revenues: 480,816 28,669 118,964 1,602,766"
grant_wa,53025,WA,Grant County,36.1,grant_county_wa_acfr_2023.pdf,capital_outlay,1,2,"594-595 Capital Expenditures 16,617,825 1,204,038 6,049,038 -"
grant_wa,53025,WA,Grant County,36.1,grant_county_wa_acfr_2023.pdf,capital_outlay,2,3,"594-595 Capital Expenditures - 7,200 - 109,721"
grant_wa,53025,WA,Grant County,36.1,grant_county_wa_acfr_2023.pdf,capital_outlay,3,4,"594-595 Capital Expenditures 100,450 - - -"
grant_wa,53025,WA,Grant County,36.1,grant_county_wa_acfr_2023.pdf,lt_debt,1,28,Note 8 – Long-Term Debt
