county_fips,county_name,STATE,CITY,dcname,mw_peak,sp_op_year,dc_class,operator,provider,batch
41049,Morrow County,Oregon,Boardman,PDX181,50.0,2024.0,clean_dc,"Amazon.com, Inc.","Amazon.com, Inc.",2
41049,Morrow County,Oregon,Boardman,PDX179,50.0,2024.0,clean_dc,"Amazon.com, Inc.","Amazon.com, Inc.",2
41049,Morrow County,Oregon,Boardman,PDX180,50.0,2024.0,clean_dc,"Amazon.com, Inc.","Amazon.com, Inc.",2
41049,Morrow County,Oregon,Boardman,PDX178,50.0,2024.0,clean_dc,"Amazon.com, Inc.","Amazon.com, Inc.",2
41049,Morrow County,Oregon,Boardman,PDX170,50.0,2024.0,clean_dc,"Amazon.com, Inc.","Amazon.com, Inc.",2
41059,Umatilla County,Oregon,Umatilla,PDX133,50.0,2025.0,clean_dc,"Amazon.com, Inc.","Amazon.com, Inc.",3
41059,Umatilla County,Oregon,Umatilla,PDX195,50.0,2025.0,clean_dc,"Amazon.com, Inc.","Amazon.com, Inc.",3
42007,Beaver County,Pennsylvania,Midland,"Midland, PA",100.0,2023.0,crypto,Mawson Infrastructure Group Inc.,Mawson Infrastructure Group Inc.,4
48355,Nueces County,Texas,Corpus Christi,Corpus Christi,100.0,2024.0,mixed,Northern Data AG,Northern Data AG,4
36063,Niagara County,New York,Niagara Falls,"Niagara Falls, NY (Alpha)",50.0,2023.0,mixed,Hut 8 Mining Corp.,Hut 8 Mining Corp.,4
48371,Pecos County,Texas,Fort Stockton,"Garden City, TX",100.0,2023.0,mixed,"MARA Holdings, Inc.","MARA Holdings, Inc.",4
48221,Hood County,Texas,McCamey,"McCamey, TX",200.0,2023.0,crypto,"MARA Holdings, Inc.","MARA Holdings, Inc.",4
51107,Loudoun County,Virginia,Leesburg,SBP2,57.508,2021.0,clean_dc,Alphabet Inc.,Alphabet Inc.,1
